"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "38" "55" "2" " 13. kerület, Váci út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "19.25" "30" "1" " 10. kerület, Kada utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "udvari beálló - benne van az árban" "2 m²" NA NA NA
"3" "37.5" "73" "2" " 4. kerület, Újpest " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" "van" "nincs megadva" NA
"4" "39.9" "46" "1" " 12. kerület, Maros utca 44/B " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"5" "23.97" "30" "1" " 19. kerület, Lehel utca 6. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" NA NA NA
"6" "30.6" "36" "1" " 13. kerület, Pannónia utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "26 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA "nincs" "nincs megadva" NA
"7" "77.3" "88" "3" " 7. kerület, Akácfa utca " "felújított" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "van" NA NA
"8" "35" "61" "1" " 16. kerület, Sashalom " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "30 000 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" "nincs" NA NA
"9" "35.5" "57" "2" " 9. kerület, József Attila-lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "15 000 Ft/hó" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" "nincs" NA NA
"10" "133" "124" "3" " 2. kerület, Hárshegy " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "fan-coil, padlófutés" "72 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "41 m²" "van" NA "6 M Ft"
