"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "42.9" "54" "2" " 3. kerület, Szolo utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "15 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "30.5" "64" "3" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"3" "29.9" "39" "1" " 13. kerület, Mosoly utca 33. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"4" "35.4" "44" "2" " 12. kerület, Hajnóczy József utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "37.9" "43" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "64.8" "80" "3" " 13. kerület, Visegrádi utca 58/A " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"7" "55" "48" "2" " 11. kerület, Nádorliget utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "31" "50" "2" " 14. kerület, Nagyzugló " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" "nincs" "25 000 Ft/hó" NA
"9" "33.9" "56" "2" " 14. kerület, Törökor " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "igen" "nem tetotéri" "nincs megadva" NA "van" NA NA
"10" "85.6" "93" "3.5" " 13. kerület, Hajdú utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "19 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "62.9" "67" "2" " 1. kerület, Batthyány tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "43.9" "68" "3" " 10. kerület, Gyakorló utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"13" "25.5" "59" "2" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"14" "64.4" "46" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"15" "27.3" "55" "2" " 20. kerület, Attila utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "12 000 Ft/hó" NA
"16" "31" "54" "2" " 13. kerület, Béke utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" NA "nincs" "8 000 Ft/hó" "3 M Ft"
"17" "24.9" "34" "1" " 14. kerület, Nagyzugló " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA NA
"18" "27.8" "33" "1" " 11. kerület, Fraknó utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA NA
"19" "23" "54" "2" " 21. kerület, Vízmu lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "45" "66" "2" " 10. kerület, Kobányai út " "újszeru" "2001-2010 között" "összkomfortos" "AA++" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "nincs" "14 700 Ft/hó" NA
