"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "34" "34" "1" " 8. kerület, Práter utca " "újszeru" "2019" "összkomfortos" "AA+" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "kertre nézo" "31 m²" "igen" "nem tetotéri" "utca, közterület" NA NA
"2" "52.9" "96" "4" " 8. kerület, Tavaszmezo utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "34.9" "31" "1" " 6. kerület, Hunyadi tér " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "54.9" "47" "2" " 6. kerület, Lovag utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "44.9" "67" "3" " 7. kerület, Erzsébet körút " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "62.9" "80" "3" " 11. kerület, Kelenföld " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "tetotéri" "nincs megadva" NA NA
"7" "26" "25" "1" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "28.9" "69" "2" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"9" "26.7" "53" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"10" "26.8" "53" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "utca, közterület" NA NA
"11" "32.9" "63" "3" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"12" "35.99" "48" "1" " 8. kerület, Bókay János utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"13" "59.9" "116" "4" " 13. kerület, Szent István körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"14" "64.99" "65" "2" " 12. kerület, Maros utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "27.9" "32" "1" " 6. kerület, Székely Bertalan utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "16 000 Ft/hó"
