"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "62.9" "80" "3" " 7. kerület, Dohány utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "45.9" "53" "2" " 11. kerület, Somogyi út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "van" "34 000 Ft/hó" "1.48 m²" NA
"3" "33.5" "49" "2" " 13. kerület, Dráva utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "3 m²" "nincs megadva"
"4" "36.8" "43" "1" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "5 m²" NA
"5" "49.8" "61" "3" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "5 m²" NA
"6" "86.6" "103" "4" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "10 m²" NA
"7" "59.9" "96" "3" " 14. kerület, Csernyus utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA "8.2 m²" NA
"8" "34.8" "43" "2" " 7. kerület, Klauzál utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"9" "29.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"10" "22.5" "52" "2" " 21. kerület, Kapos utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "3 m²" "nincs megadva"
"11" "34.9" "42" "1" " 6. kerület, Bajza utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "64.8" "81" "2" " 13. kerület, Pannónia utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "4 m²" NA
"13" "31.9" "51" "2" " 14. kerület, Szugló utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "4 m²" NA
"14" "38.9" "57" "2" " 3. kerület, Kenyeres utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"15" "22.9" "38" "1" " 8. kerület, Delej utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "2 m²" NA
"16" "25.91" "54" "2" " 21. kerület, Technikus utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "4 m²" NA
"17" "78.9" "88" "3" " 6. kerület, Szondi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "2 m²" NA
