"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "324.9" "144" "3" " 6. kerület, Külso-Terézváros " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "van" "3 m vagy magasabb" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "18 m²" "nem" "penthouse" "utca, közterület" NA NA
"2" "329.9" "146" "3" " 6. kerület, Külso-Terézváros " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "18.8 m²" "nincs megadva" "penthouse" "utca, közterület" NA NA
"3" "21.9" "35" "1" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "nincs megadva" "délkelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA
"4" "60" "63" "2" " 6. kerület, Szív utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "35.5" "41" "1" " 14. kerület, Ilosvai Selymes utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA "12 400 Ft/hó"
"6" "78.9" "112" "3" " 6. kerület, Podmaniczky utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"7" "24.9" "58" "2" " 17. kerület, Rákoskeresztúr " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"8" "38.4" "65" "3" " 11. kerület, Fehérvári út " "felújított" NA "nincs megadva" "nincs megadva" "9" "9" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "részt vett" NA
"9" "89.5" "131" "3" " 11. kerület, Bocskai út 27. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "dél" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "27.9" "50" "2" " 10. kerület, Gozmozdony utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "részt vett" NA
"11" "26.2" "27" "1" " 11. kerület, Nagyszeben tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"12" "65" "67" "2" " 13. kerület, Pannónia utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "távfutés" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "54.9" "50" "2" " 2. kerület, Hárshegyi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"14" "129" "163" "4" " 3. kerület, Testvérhegy " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA
"15" "63.99" "94" "2" " 11. kerület, Villányi út " "felújítandó" "1950 elott" "összkomfortos" "EE" "1" "5" "nincs" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"16" "36.5" "60" "2" " 15. kerület, Illyés Gyula utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület" NA NA
"17" "35.49" "61" "2" " 14. kerület, Zászlós utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "6.5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"18" "27.5" "35" "1" " 15. kerület, Zsókavár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 200 Ft/hó"
"19" "32" "36" "1" " 2. kerület, Vérhalom " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"20" "30.9" "41" "1" " 15. kerület, Illyés Gyula utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
