"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "epites_eve" "erkely" "panelprogram" "parkolohely_ara"
"1" "119.99" "127" "6" " 9. kerület, Vámház körút " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "57.9" "58" "3" " 1. kerület, Batthyány utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA NA NA NA
"3" "52" "68" "2" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA NA NA
"4" "42" "50" "2" " 11. kerület, Csóka utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA
"5" "29.9" "60" "2" " 10. kerület, Harmat utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950-1980 között" "4 m²" "nem vett részt" NA
"6" "53.9" "54" "2" " 12. kerület, Apor Vilmos tér " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "4 m²" NA NA
"7" "149" "110" "4" " 2. kerület, Szemlohegy " "újszeru" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "39 000 Ft/hó" "van" "2001-2010 között" "18 m²" NA "8 M Ft"
"8" "68.89" "93" "3" " 9. kerület, Ráday utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "1950 elott" NA NA NA
"9" "35.9" "50" "2" " 7. kerület, Dembinszky utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"10" "26.5" "34" "1" " 3. kerület, Bogdáni út " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "18 000 Ft/hó" "nincs" "1950-1980 között" NA NA NA
"11" "44.9" "56" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" "komfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" "9 000 Ft/hó" "van" NA NA NA NA
"12" "252" "97" "4" " 2. kerület, Rózsadomb " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA "van" "1981-2000 között" NA NA NA
"13" "28.9" "46" "1" " 14. kerület, Ormánság utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950-1980 között" NA "részt vett" NA
"14" "22" "35" "1" " 21. kerület, Ady Endre út " "felújítandó" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "4 m²" "nincs megadva" NA
"15" "45.3" "45" "2" " 10. kerület, Bánya utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "megújuló energia" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "2001-2010 között" NA NA "2 M Ft"
