"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "61.76" "47" "2" " 9. kerület, Dandár utca 22. " "nincs megadva" "2011" "luxus" "AA" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "dél" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"2" "51.5" "56" "2" " 2. kerület, Pasaréti út " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"3" "52.56" "55" "2" " 11. kerület, Péterhegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "kelet" "kertre nézo" "9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA
"4" "51.11" "62" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "kelet" "utcai" "13 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA
"5" "25" "33" "1" " 6. kerület, Székely Bertalan utca 24. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó"
"6" "42.7" "81" "4" " 16. kerület, Rutafa utca " "jó állapotú" "1981-2000 között" "összkomfortos" "BB" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "dél" "panorámás" "9 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"7" "24.99" "31" "1" " 10. kerület, Hatház utca 11. " "felújított" "1950-1980 között" "összkomfortos" "DD" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "15 000 Ft/hó"
"8" "18.9" "42" "1" " 22. kerület, Úttörok útja " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"9" "26.5" "57" "2" " 22. kerület, Csút utca 2/b " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), gázkazán" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" NA "utca, közterület - ingyenes" NA "10 000 Ft/hó"
"10" "89" "105" "4" " 7. kerület, Kertész utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "3.3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "49.79" "55" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"12" "31.7" "47" "1" " 13. kerület, Váci út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"13" "62.9" "80" "3" " 7. kerület, Dohány utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"14" "35.1" "26" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "33.7" "51" "2" " 7. kerület, Nefelejcs utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor), fan-coil" "van" "igen" "egy helyiségben" "nincs megadva" "udvari" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"16" "21" "40" "1" " 21. kerület, Kossuth Lajos utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"17" "48.9" "74" "3" " 2. kerület, Fillér utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "35 000 Ft/hó"
"18" "27.9" "32" "1" " 7. kerület, Szövetség utca 43. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "9 700 Ft/hó"
"19" "75" "72" "2" " 11. kerület, Bártfai utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
