"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "36" "56" "2" " 14. kerület, Táborhely utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "79.9" "81" "3" " 11. kerület, Nevegy utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "2" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "20 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "van" "20 000 Ft/hó" NA NA
"3" "115.2" "123" "3" " 1. kerület, Donáti utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "18 000 Ft/hó" NA NA
"4" "27.3" "50" "2" " 14. kerület, Nagy Lajos király útja 91. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" "nem vett részt" NA
"5" "26.5" "36" "1" " 13. kerület, Madarász Viktor utca 35. " "közepes állapotú" NA "nincs megadva" "AA" "6" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" "15 000 Ft/hó" "nem vett részt" NA
"6" "48" "57" "2" " 13. kerület, Esztergomi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "9" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "19.9" "45" "1" " 19. kerület, Ady Endre út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "26.5" "51" "1" " 3. kerület, Margitliget utca 2. " "jó állapotú" NA "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "részt vett" NA
"9" "34.9" "40" "1" " 2. kerület, Varsányi Irén utca 15. " "felújított" NA "komfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" "utca, közterület" NA "9 300 Ft/hó" NA NA
"10" "27.2" "32" "1" " 3. kerület, Zápor utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"11" "30" "36" "1" " 3. kerület, Pünkösdfürdo utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "3 m²" "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA
"12" "31.4" "58" "2" " 16. kerület, Linda tér " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "nem" "külön helyiségben" "délnyugat" "utcai" "5 m²" "nem" NA "utca, közterület - ingyenes" "van" NA NA NA
"13" "30.5" "36" "1" " 11. kerület, Sopron út " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA NA
"14" "61.9" "86" "4" " 9. kerület, Thaly Kálmán utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "utcai" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "4.2 M Ft"
"15" "36.9" "57" "2" " 7. kerület, Wesselényi utca 59. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA NA
"16" "398" "175" "5" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" NA "luxus" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "padlófutés" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"17" "44.5" "62" "2" " 12. kerület, Avar utca 13. " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"18" "65.9" "80" "3" " 9. kerület, Liliom utca 1/b " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" "30 000 Ft/hó" NA NA
"19" "46.9" "99" "2" " 7. kerület, Dózsa György út 34. " "felújított" "1950 elott" "összkomfortos" "B" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA
"20" "24.5" "26" "1" " 7. kerület, Csengery utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
