"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg"
"1" "32.9" "48" "2" " 9. kerület, Középso-Ferencváros – Malmok " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "12.9" "24" "1" " 4. kerület, Tinódi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "igen" "nincs megadva" "utca, közterület" NA NA NA
"3" "65" "123" "5" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" NA "nincs megadva" "van" "34 m²" NA
"4" "52" "61" "2" " 14. kerület, Istvánmezo " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1.6 m²" NA
"5" "26.5" "35" "1" " 6. kerület, Szondi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 000 Ft/hó"
"6" "24.9" "30" "1" " 9. kerület, Vaskapu utca " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" NA NA
"7" "82" "82" "3" " 5. kerület, Lipótváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "1 m²" "25 000 Ft/hó"
"8" "31.8" "53" "2" " 14. kerület, Bolgárkertész utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "20 000 Ft/hó"
"9" "59" "130" "3" " 7. kerület, Baross tér " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "tetotéri" "nincs megadva" "nincs" NA NA
"10" "24.9" "30" "1" " 9. kerület, Vaskapu utca 6/A " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA
"11" "69.9" "127" "2" " 15. kerület, Rákospalota " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "26 m²" NA
"12" "58.9" "58" "2" " 7. kerület, Kazinczy utca " "felújított" "2011" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" NA NA
"13" "15.5" "27" "1" " 4. kerület, Perényi Zsigmond utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"14" "44.9" "50" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 m²" NA
"15" "44.8" "64" "3" " 7. kerület, Hernád utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "12 000 Ft/hó"
"16" "44.9" "75" "2" " 8. kerület, Koris utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"17" "23.5" "43" "1" " 18. kerület, Lakatos út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "nem" NA "utca, közterület - ingyenes" "van" NA "26 000 Ft/hó"
"18" "53.9" "59" "2" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "79.9" "79" "3" " 6. kerület, Belso-Terézváros " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "99" "158" "5.5" " 5. kerület, Honvéd utca " "felújított" "1950 elott" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
