"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "69.9" "45" "1" " 5. kerület, Belgrád rakpart " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "49.9" "64" "3" " 6. kerület, Jókai tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "44.89" "58" "2" " 7. kerület, Wesselényi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "112" "92" "2.5" " 12. kerület, Zugliget " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "9 m²" NA NA NA
"5" "67.2" "79" "2" " 13. kerület, Hollán Erno utca 7. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA NA NA
"6" "30" "49" "1" " 9. kerület, Víztorony köz " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "20 000 Ft/hó" NA
"7" "25.9" "53" "2" " 15. kerület, Újpalota " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" NA "utca, közterület" NA NA NA NA
"8" "24.5" "27" "1" " 6. kerület, Csengery utca 49. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "32.99" "43" "2" " 18. kerület, Liptáktelep " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "25.8" "48" "2" " 11. kerület, Fehérvári út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "9" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "6 m²" "nincs" NA "nem vett részt"
"11" "35.9" "68" "3" " 4. kerület, Nyár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA "45 000 Ft/hó" "nincs megadva"
"12" "37.9" "53" "2" " 11. kerület, Forgalmi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "3 m²" "van" NA "részt vett"
"13" "34.5" "40" "1" " 7. kerület, Dózsa György út 68. " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" "11 000 Ft/hó" NA
"14" "68.44" "103" "3" " 9. kerület, Belso-Ferencváros " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"15" "22.9" "43" "1" " 14. kerület, Telepes utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"16" "55.9" "56" "2" " 6. kerület, Király utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA "van" NA NA
"17" "23.9" "35" "1" " 18. kerület, Havanna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"18" "79.9" "89" "3" " 2. kerület, Alvinci út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "19 m²" NA NA NA
"19" "33" "35" "1" " 6. kerület, Külso-Terézváros " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "65.8" "63" "2" " 2. kerület, Fény utca 8. " "jó állapotú" "1950 elott" "duplakomfortos" "AA" "3" "4" "nincs" "3 m vagy magasabb" "gázkazán, egyéb" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "34 000 Ft/hó" NA
