"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "28.8" "35" "1" " 7. kerület, Dózsa György út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "33.5" "53" "2" " 11. kerület, Gazdagréti lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" "nincs megadva" NA NA
"3" "24.5" "38" "1" " 13. kerület, Váci út " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "33.5" "36" "1" " 3. kerület, Csillaghegy " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" NA NA NA
"5" "26.9" "48" "2" " 17. kerület, Pesti út " "felújított" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA NA
"6" "55.9" "60" "2" " 2. kerület, Fekete Sas utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"7" "82.85" "67" "3" " 5. kerület, Lipótváros " "felújított" "1950-1980 között" "összkomfortos" "FF" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA NA NA
"8" "68.5" "67" "2" " 2. kerület, Szász Károly utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA NA
"9" "90" "77" "2" " 13. kerület, Visegrádi utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "44 m²" NA NA NA
"10" "22.8" "20" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
