"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "59.9" "74" "3" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "3.8 M Ft" NA NA NA
"2" "39.5" "49" "2" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" "2.8 M Ft" NA NA NA
"3" "22.5" "33" "1" " 13. kerület, Lehel utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "47.9" "45" "1" " 8. kerület, Tisztviselotelep " "nincs megadva" "2018" "összkomfortos" "AA+" "3" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön helyiségben" "északkelet" "kertre nézo" "8.13 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "35.5" "63" "2" " 9. kerület, Csengettyu utca 17. " "felújított" NA "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nem" NA "utca, közterület - ingyenes" NA NA NA NA
"6" "107.5" "73" "2" " 5. kerület, Akadémia utca 7. " "jó állapotú" "1950 elott" "összkomfortos" "DD" "4" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "nyugat" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "20 000 Ft/hó" NA
"7" "140" "260" "5" " 2. kerület, Lipótmezo " "felújítandó" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"8" "23.99" "35" "1" " 4. kerület, Újpest-Központ " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "8 000 Ft/hó" "nem vett részt"
"9" "66.5" "66" "3" " 13. kerület, Tutaj utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA "van" NA NA
"10" "30.9" "50" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA "nem vett részt"
