"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "67.29" "65" "3" " 11. kerület, Fehérvári út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "udvari" "22.89 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA
"2" "80" "83" "2" " 1. kerület, Attila út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "24 000 Ft/hó" NA NA
"3" "66.09" "63" "2" " 11. kerület, Fehérvári út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "udvari" "22.81 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA
"4" "39.9" "40" "2" " 7. kerület, Hernád utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "42" "64" "2" " 8. kerület, II. János Pál pápa tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "78" "108" "3" " 6. kerület, Lovag utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "44.8" "57" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" NA NA "2 000 Ft/hó" NA
"8" "31" "61" "3" " 15. kerület, Rákospalota – MÁV-telep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "részt vett"
"9" "41" "50" "1" " 5. kerület, Lipótváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "24.8" "65" "2.5" " 9. kerület, Osztag köz " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
