"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "27.5" "24" "1" " 6. kerület, Lázár utca " "felújított" "luxus" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "36.9" "63" "2" " 8. kerület, Bródy Sándor utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"3" "25" "46" "1" " 21. kerület, Árpád utca 6/B " "felújított" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "30 000 Ft/hó" "nincs megadva" NA NA
"4" "32.9" "39" "1" " 11. kerület, Torbágy utca " "jó állapotú" "összkomfortos" "DD" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "1981-2000 között" NA "részt vett" "1 m²" NA
"5" "44" "47" "1" " 13. kerület, Radnóti Miklós utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "30 Ft/hó" NA NA NA
"6" "41.9" "42" "1" " 12. kerület, Fodor utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "12 000 Ft/hó" NA "4 m²" NA
"7" "62.3" "84" "2" " 12. kerület, Táltos utca 4. " "felújított" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" NA NA "4 m²" NA
"8" "32.9" "64" "2" " 9. kerület, Ülloi út 101. " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "12 000 Ft/hó" NA NA NA
"9" "52.5" "113" "1" " 1. kerület, Kapucinus utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"10" "81" "67" "2" " 2. kerület, Széher út " "felújított" "luxus" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "1950-1980 között" NA NA "12 m²" "6 M Ft"
"11" "57" "60" "2" " 13. kerület, Váci út " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" NA NA NA
"12" "34.85" "56" "2" " 10. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA "3 m²" NA
"13" "34" "65" "2" " 18. kerület, Goroszló utca " "újszeru" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"14" "83" "86" "4" " 7. kerület, Károly körút 5/A " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "2 m²" NA
"15" "720" "403" "5" " 9. kerület, Lechner Ödön fasor 1. " "újszeru" "luxus" "B" "9" "9" "van" "3 m vagy magasabb" "fan-coil, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "északnyugat" "panorámás" "nem" "penthouse" "teremgarázs hely - megvásárolható" "2001-2010 között" NA NA "202 m²" "10 M Ft"
"16" "79" "100" "3" " 1. kerület, Batthyány utca " "jó állapotú" "duplakomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA NA NA
"17" "143" "93" "4" " 12. kerület, Béla király út " "újszeru" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "1981-2000 között" NA NA "18 m²" "5.5 M Ft"
"18" "64.9" "66" "3" " 13. kerület, Gömb utca 46. " "újszeru" "összkomfortos" "CC" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "van" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "30 000 Ft/hó" NA "40 m²" NA
"19" "52.9" "60" "2" " 7. kerület, Dohány utca 39. " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "9 800 Ft/hó" NA NA NA
