"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "22.9" "35" "1" " 14. kerület, Telepes utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"2" "68.5" "105" "4" " 11. kerület, Szentimreváros " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "5 m²" NA NA
"3" "92.19" "84" "2" " 6. kerület, Belso-Terézváros " "újszeru" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "2018" "van" "38 m²" "18 000 Ft/hó" "2.55 M Ft"
"4" "59.44" "51" "2" " 6. kerület, Belso-Terézváros " "újszeru" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "2018" "van" NA "15 000 Ft/hó" "2.55 M Ft"
"5" "99.9" "126" "4" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "A" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA "64 m²" NA "3 M Ft"
"6" "104.9" "89" "3" " 12. kerület, Széchenyihegy " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "2012" "van" "12 m²" NA NA
"7" "145.9" "126" "3" " 6. kerület, Andrássy út " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "140" "144" "3" " 14. kerület, Herminamezo " "újszeru" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "van" "23 m²" "28 000 Ft/hó" NA
"9" "24.9" "34" "1" " 16. kerület, Zsemlékes út 25. " "újszeru" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" "2016" "van" NA "20 000 Ft/hó" NA
"10" "63.5" "79" "3" " 2. kerület, Margit körút " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "2 m²" "40 000 Ft/hó" NA
"11" "18.9" "62" "2" " 9. kerület, Sobieski János utca " "felújított" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"12" "33.5" "47" "2" " 17. kerület, Berky Lili utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "5 m²" NA NA
"13" "65" "109" "5" " 14. kerület, Kiszugló " "felújított" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "udvari" "nem" "tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"14" "26.8" "36" "1" " 14. kerület, Gyarmat utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA NA
"15" "42.9" "53" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" NA "60 m²" NA NA
"16" "28.9" "36" "1" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" NA "30 m²" NA NA
"17" "88" "107" "5" " 15. kerület, Pestújhely " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" NA "8 m²" NA NA
"18" "73.5" "84" "3" " 2. kerület, Országút " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"19" "28.9" "63" "3" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "utcai" "nem" NA "utca, közterület" "1950-1980 között" NA NA NA NA
"20" "22.8" "28" "1" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "önálló garázs - bérelheto" "1981-2000 között" NA NA NA NA
