"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "45.9" "48" "2" " 7. kerület, Százház utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "udvari" "8 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"2" "39.9" "50" "1" " 6. kerület, Szív utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA
"3" "159" "180" "5" " 14. kerület, Törökor " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "80 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "6 M Ft" NA NA
"4" "69.9" "49" "2" " 6. kerület, Zichy Jeno utca 42. " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön helyiségben" "délkelet" "kertre nézo" "78.96 m²" "igen" "tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"5" "69.9" "64" "2" " 6. kerület, Zichy Jeno utca 42. " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön helyiségben" "délkelet" "utcai" "10.1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"6" "125" "58" "2" " 5. kerület, Kossuth Lajos tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "8 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "van" NA "15 000 Ft/hó" NA
"7" "132.6" "77" "3" " 5. kerület, Nyugati tér 8. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"8" "68" "108" "3" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "31" "54" "2" " 4. kerület, Bárdos Artúr utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "30 000 Ft/hó" "részt vett"
"10" "64.9" "144" "3" " 10. kerület, Ligettelek " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "40 000 Ft/hó" NA
