"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "epites_eve"
"1" "22.9" "27" "1" " 14. kerület, Róna utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "25" "35" "1" " 19. kerület, Csokonai utca " "felújított" "nincs megadva" "nincs megadva" "2" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "van" "7 000 Ft/hó" "4 m²" "nincs megadva" NA
"3" "112" "94" "2" " 5. kerület, Városház utca " "felújítandó" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "2 m²" NA "1950 elott"
"4" "33" "31" "1" " 10. kerület, Bánya utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" "16 m²" NA NA
"5" "35.9" "67" "3" " 4. kerület, István út " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" "1981-2000 között"
"6" "60" "74" "3" " 12. kerület, Krisztinaváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "24.5" "26" "1" " 8. kerület, Bacsó Béla utca 16. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "mennyezeti hutés-futés" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"8" "24.9" "27" "1" " 3. kerület, Kadosa utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" "1981-2000 között"
"9" "49.9" "52" "2" " 12. kerület, Zalai út " "jó állapotú" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "15 000 Ft/hó" "10 m²" NA "1950-1980 között"
"10" "42.8" "68" "2.5" " 11. kerület, Frankhegy utca 11. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA "3 m²" "nincs megadva" NA
