"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"1" "44.9" "50" "2" " 6. kerület, Jókai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" "van" "30 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "35" "36" "1" " 9. kerület, Nádasdy utca " "újszeru" "2015" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA NA
"3" "186" "118" "2" " 13. kerület, Vígszínház utca " "felújított" NA "luxus" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"4" "29.9" "27" "1" " 7. kerület, Hutyra Ferenc utca 11-15 " "újszeru" "2011" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"5" "69.55" "72" "4" " 14. kerület, Alsórákos " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "udvari beálló - kötelezo megvenni" "21 m²" "2 M Ft" NA
"6" "44.5" "56" "2" " 9. kerület, Belso-Ferencváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "35.5" "54" "2" " 9. kerület, Belso-Ferencváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "83.5" "96" "3" " 8. kerület, József körút " "felújított" NA "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "34.9" "51" "3" " 15. kerület, Rákospalota " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA
"10" "165" "90" "3" " 1. kerület, Víziváros " "felújított" NA "luxus" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"11" "195.3" "121" "4" " 6. kerület, Paulay Ede utca " "felújított" NA "luxus" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "26 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "60" "92" "2" " 12. kerület, Tusnádi utca 40. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "15 M Ft" NA
