"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "parkolohely_ara"
"1" "37.8" "64" "3" " 11. kerület, Andor utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "29 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "53.9" "71" "3" " 9. kerület, Vaskapu utca " "jó állapotú" "összkomfortos" "CC" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "18 600 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA
"3" "69.45" "88" "4" " 14. kerület, Alsórákos " "újszeru" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "14.52 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2019" "3.3 M Ft"
"4" "38.89" "42" "2" " 8. kerület, Nap utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA
"5" "46.9" "86" "3" " 17. kerület, Surányi Ferenc utca " "újszeru" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "egy helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nincs megadva" NA "udvari beálló - benne van az árban" "2001-2010 között" NA
"6" "31.9" "52" "2" " 8. kerület, Teleki László tér " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "észak" "udvari" NA "nem" "nincs megadva" NA "utca, közterület" "1950 elott" NA
"7" "32.5" "35" "1" " 13. kerület, Madarász Viktor utca " "felújított" "összkomfortos" "A+" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "23 000 Ft/hó" "nem" "egy helyiségben" "északnyugat" "utcai" "35 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA
"8" "57.5" "55" "2" " 2. kerület, Hárshegyi út " "jó állapotú" "összkomfortos" "C" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "fan-coil" "van" "50 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" NA
"9" "25.8" "35" "1" " 18. kerület, Havanna utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "67" "122" "4" " 14. kerület, Alsórákos " "közepes állapotú" "összkomfortos" "CC" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön és egyben is" "kelet" "kertre nézo" "8 m²" "nem" "nincs megadva" NA "önálló garázs - benne van az árban" "1981-2000 között" NA
"11" "26.5" "33" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"12" "28.1" "57" "2" " 3. kerület, Lukács György utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "1981-2000 között" NA
"13" "54" "47" "2" " 14. kerület, Cházár András utca " "újszeru" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "délkelet" "panorámás" "2 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "2001-2010 között" NA
