"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "83" "87" "2" " 1. kerület, Krisztinaváros – Váralja " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "43.5" "63" "2" " 7. kerület, Damjanich utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "59.9" "80" "2" " 7. kerület, Dob utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA NA NA
"4" "115.36" "139" "5" " 3. kerület, Ürömhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "71 m²" NA NA NA
"5" "33" "75" "2" " 4. kerület, Újpest-Központ " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "igen" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "43.9" "69" "2" " 14. kerület, Komócsy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "7 m²" NA NA NA
"7" "63.94" "62" "3" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "18.35 m²" "Forest Hill Lakópark" "4.5 M Ft" NA
"8" "108" "140" "4" " 2. kerület, Törökvész " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "önálló garázs" NA "11 m²" NA NA NA
"9" "76.5" "76" "3" " 3. kerület, Csalma utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "30 000 Ft/hó" "20 m²" NA NA NA
"10" "141.61" "131" "4" " 2. kerület, II/A kerület – Budaliget " "befejezetlen" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "43 m²" NA "4 M Ft" NA
