"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "79.9" "74" "3" " 2. kerület, Vérhalom " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "59.9" "83" "2" " 2. kerület, Országút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "51" "59" "2" " 11. kerület, Kelenföld " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "90" "142" "3" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "33.6" "34" "1" " 6. kerület, Szondi utca 74. " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "58.3" "75" "3" " 22. kerület, Rózsakert utca 3-11 " "újszeru" "2001-2010 között" "nincs megadva" "CC" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" "3 M Ft" NA NA
"8" "42.9" "58" "2" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
"9" "20.9" "38" "1" " 10. kerület, Csilla utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "27.9" "37" "1" " 11. kerület, Kisköre tér 2. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "30 000 Ft/hó" NA
