"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "28.49" "55" "2" " 15. kerület, Erdokerülo utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "35 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "36.9" "34" "1" " 2. kerület, Törökvész " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
"3" "29.9" "27" "1" " 7. kerület, Murányi utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"4" "25.9" "50" "2" " 15. kerület, Alkotmány utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "10 000 Ft/hó" "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" "1981-2000 között" NA NA
"5" "30.9" "72" "2" " 8. kerület, Baross utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "zárószint" NA "nincs megadva" NA NA NA
"6" "108" "81" "3" " 2. kerület, Kurucles " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "26 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1981-2000 között" NA NA
"7" "129.99" "92" "3" " 9. kerület, Vámház körút 11. " "újszeru" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" "van" NA
"8" "24.9" "39" "1" " 4. kerület, Perényi Zsigmond utca 58. " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" "2 m²" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA
"9" "44.9" "38" "1" " 13. kerület, Danubius utca " "újszeru" "összkomfortos" "CC" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "15 000 Ft/hó" "igen" "egy helyiségben" "nyugat" "panorámás" "6 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "4 M Ft"
"10" "35.9" "48" "2" " 3. kerület, Rómaifürdo " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" NA NA
"11" "39" "47" "2" " 14. kerület, Bagolyvár utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
"12" "22.3" "26" "1" " 14. kerület, Utász utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
