"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg"
"1" "22.9" "50" "2" " 10. kerület, Hang utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "68.5" "67" "2" " 2. kerület, Víziváros " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "3 m²" NA NA
"3" "24.9" "56" "2" " 21. kerület, Kiss János altábornagy utca " "közepes állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" "4 m²" NA NA
"4" "36.9" "59" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"5" "31.9" "67" "2" " 4. kerület, Külso Szilágyi út " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "8" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"6" "41.6" "52" "2" " 14. kerület, Bolgárkerék utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" "2 m²" "van" NA
"7" "24.9" "32" "1" " 14. kerület, Bácskai utca 58. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "18 000 Ft/hó"
"8" "73" "75" "3" " 11. kerület, Beregszász út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "5 m²" NA NA
"9" "34.9" "47" "3" " 9. kerület, Tompa utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"10" "33.5" "49" "2" " 3. kerület, Óbudai lakótelep " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - fizetos övezet" "1950-1980 között" "4 m²" "nincs" NA
"11" "29.5" "46" "2" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"12" "24.9" "56" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" "4 m²" NA NA
"13" "32.9" "55" "2" " 14. kerület, Adria sétány " "közepes állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" NA NA
"14" "25.9" "35" "1" " 13. kerület, Madarász Viktor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "112" "126" "4" " 14. kerület, Gyarmat utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "48 m²" NA NA
"16" "112" "108" "3" " 14. kerület, Gyarmat utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "94 m²" NA NA
"17" "40" "72" "3" " 10. kerület, Szent László tér " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "utca, közterület" "1981-2000 között" "6 m²" "van" "40 000 Ft/hó"
"18" "35.5" "49" "2" " 6. kerület, Belso-Terézváros " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA
"19" "23.6" "27" "1" " 9. kerület, Ifjúmunkás utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" NA NA NA
"20" "55.65" "44" "2" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "összkomfortos" "AA+" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "udvari" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" "2020" "8 m²" NA NA
