"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "46.9" "60" "2" " 9. kerület, Lenhossék utca 3. " "nincs megadva" "2013" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "15 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "54.9" "65" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA
"3" "24.9" "34" "1" " 8. kerület, József utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nem" "nincs megadva" "utca, közterület" NA NA
"4" "75.9" "122" "5" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA
"5" "39.9" "50" "2" " 8. kerület, Rákóczi tér 2. " "újszeru" "2018" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"6" "56" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "32.2" "44" "1" " 22. kerület, Kossuth Lajos utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "30 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "8 m²" "nem" NA "utca, közterület - ingyenes" NA NA
"8" "60" "71" "3" " 22. kerület, Gerinc utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "54.5" "64" "2" " 2. kerület, Budenz út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA
"10" "79.5" "80" "3" " 9. kerület, Középso-Ferencváros – Malmok " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "utcai" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA
"11" "25" "32" "1" " 7. kerület, Peterdy utca 3. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "22 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"12" "39.9" "56" "1" " 9. kerület, Mester utca " "felújított" "1981-2000 között" "komfortos" "nincs megadva" "földszint" "8" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA
"13" "34.2" "55" "2" " 15. kerület, Erdokerülo utca 18. " "felújított" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "van" "részt vett"
"14" "26.4" "32" "1" " 8. kerület, Szigetvári utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "94" "89" "4" " 8. kerület, Rákóczi út 86. " "felújított" "1950 elott" "luxus" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA
"16" "124.5" "135" "6" " 8. kerület, Rákóczi út 86. " "felújított" "1950 elott" "luxus" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "van" NA
"17" "97" "86" "3" " 7. kerület, Síp utca " "felújított" NA "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA
"18" "35.9" "58" "2" " 13. kerület, Párkány utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "nincs megadva"
"19" "56.3" "53" "2" " 11. kerület, Sashegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"20" "25.5" "50" "2" " 15. kerület, Újpalota " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt"
