"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "29.5" "50" "2" " 8. kerület, Szigony utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "15.9" "36" "1" " 14. kerület, Bosnyák utca " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "30 000 Ft/hó" NA NA NA
"3" "32.1" "56" "2" " 10. kerület, Gyárduloi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "22.8" "22" "1" " 13. kerület, Jász utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA
"5" "42.2" "45" "1" " 11. kerület, Irinyi József utca " "felújítandó" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" "nem tetotéri" NA "utca, közterület" NA NA "nincs" NA
"6" "34.9" "63" "1" " 7. kerület, Rózsa utca " "közepes állapotú" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északkelet" "utcai" "2 m²" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" NA "1950 elott" "nincs" NA
"7" "25.5" "55" "2" " 17. kerület, Újlak utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "1981-2000 között" "van" NA
"8" "31.5" "63" "2" " 21. kerület, Rakéta utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "1981-2000 között" NA NA
"9" "30.9" "50" "2" " 9. kerület, Kosárka sétány " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "15 000 Ft/hó" NA NA NA
"10" "27.5" "54" "2" " 4. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" NA "nincs megadva" NA NA NA NA
"11" "49.9" "48" "2" " 7. kerület, Rumbach Sebestyén utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1950 elott" NA NA
"12" "21.7" "31" "1" " 13. kerület, Hegedus Gyula utca 29/a " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"13" "65" "56" "2" " 6. kerület, Lovag utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "padlófutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "30 000 Ft/hó" NA "van" NA
