"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "239" "122" "3" " 6. kerület, Andrássy út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "58.46" "84" "3" " 7. kerület, Wesselényi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "52.5" "77" "2" " 7. kerület, Király utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "28.7" "53" "2" " 4. kerület, Nyár utca 97. " "felújított" NA "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "30 000 Ft/hó" "nem vett részt" NA NA
"5" "47.9" "54" "2" " 8. kerület, Harminckettesek tere 6. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" "13 000 Ft/hó" NA "van" "2 000 Ft/hó"
"6" "87" "71" "3" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA
"7" "20.9" "35" "1" " 21. kerület, Csepel-Kertváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" "nincs" NA
"8" "57.9" "101" "3" " 7. kerület, Hernád utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "20 200 Ft/hó" NA "van" NA
"9" "118" "130" "3" " 5. kerület, Szép utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "19 500 Ft/hó" NA NA NA
"10" "59.5" "105" "3" " 14. kerület, Törökor " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
