"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "29.5" "30" "1" " 12. kerület, Kléh István utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "8 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "39.9" "53" "2" " 6. kerület, Király utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "7 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"3" "89.84" "107" "3" " 13. kerület, Hollán Erno utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA
"4" "61.4" "63" "2" " 11. kerület, Ugron Gábor utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "27.5" "54" "2" " 4. kerület, Rózsa utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"6" "59" "167" "6.5" " 10. kerület, Ülloi út " "nincs megadva" NA "komfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA
"7" "55" "53" "2" " 11. kerület, Radvány utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "5 m²" NA
"8" "23.9" "22" "1" " 13. kerület, Pannónia utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "távfutés" NA "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "észak" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" NA NA
"9" "142" "132" "4" " 11. kerület, Kelenhegyi út 24-26 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" NA
"10" "37" "59" "2" " 6. kerület, Vörösmarty utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"11" "59" "72" "3" " 12. kerület, Vas Gereben utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "20 000 Ft/hó" "nem" "külön helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"12" "32.9" "55" "2" " 22. kerület, Budafok – Arany János utcai lakótelep " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" NA "nincs megadva" "5 m²" NA
"13" "45.9" "52" "2" " 13. kerület, Gömb utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA
"14" "26" "53" "2" " 21. kerület, Korösi Sándor utca 20. " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "4 m²" NA
