"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "28.9" "36" "1" " 3. kerület, Fényes Adolf utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"2" "28.9" "36" "1" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" "30 m²" NA NA NA NA
"3" "23.9" "39" "1" " 8. kerület, Kiss József utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA
"4" "89.9" "104" "4" " 16. kerület, Rákosszentmihály " "nincs megadva" "duplakomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"5" "15.3" "27" "1" " 4. kerület, Perényi Zsigmond utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "27 m²" NA NA NA NA
"6" "149.9" "125" "4" " 2. kerület, Szikla utca " "újszeru" "luxus" "CC" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "kelet" "panorámás" "igen" "penthouse" "önálló garázs - megvásárolható" "1981-2000 között" "28 m²" "van" "10 000 Ft/hó" "6 M Ft" NA
"7" "27.5" "32" "1" " 6. kerület, Király utca " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "37.5" "51" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "komfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "1950-1980 között" NA NA "10 000 Ft/hó" NA NA
"9" "99.9" "119" "3" " 2. kerület, Frankel Leó út " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" "van" NA NA NA
"10" "38.81" "43" "1" " 6. kerület, Felso erdosor " "felújított" "összkomfortos" "DD" "2" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"11" "64" "70" "1" " 6. kerület, Benczúr utca " "felújított" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"12" "54.9" "64" "3" " 9. kerület, Erkel utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"13" "44.9" "127" "3" " 4. kerület, Kassai utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA NA
