"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "83" "98" "3" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "65.5" "76" "3" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "68" "69" "2.5" " 12. kerület, Galgóczy utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "38 000 Ft/hó" "34 m²" NA
"4" "137.9" "83" "3" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" NA
"5" "84.8" "80" "3" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "17 000 Ft/hó" "10 m²" NA
"6" "27.5" "29" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "47.7" "67" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület" NA NA "4 m²" "nincs megadva"
"8" "42.9" "82" "2" " 7. kerület, Csengery utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "36.5" "40" "1" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "39.3" "52" "3" " 7. kerület, Damjanich utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA "21 000 Ft/hó" NA NA
"11" "22" "40" "1" " 19. kerület, Kispest-Óváros " "felújított" NA "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA "10 000 Ft/hó" NA NA
"12" "94.9" "78" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "111.32" "86" "3" " 6. kerület, Paulay Ede utca " "nincs megadva" "2019" "luxus" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "7 m²" NA
"14" "109.16" "84" "3" " 6. kerület, Paulay Ede utca " "nincs megadva" "2019" "luxus" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "7 m²" NA
"15" "19.9" "47" "2" " 15. kerület, Bocskai utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "189" "108" "3" " 9. kerület, Lechner Ödön fasor " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "fan-coil" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "van" "108 000 Ft/hó" "12 m²" NA
"17" "73.5" "86" "2" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "43" "83" "2" " 4. kerület, Görgey Artúr utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "40 000 Ft/hó" "4 m²" NA
"19" "18.5" "37" "1" " 10. kerület, Kobánya-Városközpont " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "3 m²" NA
"20" "35.9" "60" "2" " 17. kerület, Rákoskert – Szárazhegy " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "udvari" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" "nincs" NA NA NA
