"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "46.9" "73" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"2" "52" "57" "1" " 1. kerület, Krisztinaváros – Váralja " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "9 000 Ft/hó" NA NA NA NA
"3" "50" "51" "2" " 2. kerület, Bognár utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA "4 m²" NA NA NA
"4" "16.9" "27" "1" " 23. kerület, Soroksár-Újtelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA NA
"5" "22.9" "38" "1" " 23. kerület, Soroksár-Újtelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA NA
"6" "49" "51" "2" " 13. kerület, Kárpát utca " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA "4 m²" "nincs" "nincs megadva" NA
"7" "52" "64" "3" " 18. kerület, Benedek Elek utca 9. " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - megvásárolható" "2020" NA "20.29 m²" "van" NA "1.5 M Ft"
"8" "28.7" "71" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "38 000 Ft/hó" "4 m²" "van" "nincs megadva" NA
"9" "17.9" "28" "1" " 14. kerület, Gizella út " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "udvari" "igen" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"10" "21.9" "23" "1" " 6. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "van" NA NA
