"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "49.4" "54" "2" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "kelet" "utcai" "2.34 m²" "nem" "zárószint" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "83" "138" "2" " 14. kerület, Istvánmezo " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északnyugat" "udvari" "50 m²" "nem" "nem tetotéri" "udvari beálló" NA NA NA
"3" "28" "47" "1" " 4. kerület, Rózsa utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "29 999 Ft/hó" "nincs megadva"
"4" "44.9" "62" "2" " 8. kerület, Orczy tér " NA "újszeru" "2001-2010 között" "összkomfortos" "AA" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nem" "nincs megadva" "teremgarázs hely - bérelheto" "12 000 Ft/hó" "15 000 Ft/hó" NA
"5" "44.9" "76" "2" " 7. kerület, Bethlen Gábor utca " NA "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "16 000 Ft/hó" NA
"6" "25.2" "34" "1" " 4. kerület, Kassai utca " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" "nincs megadva"
"7" "75.9" "100" "3" " 7. kerület, Dob utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "32 000 Ft/hó" NA
"8" "95" "103" "3" " 12. kerület, Bartha utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délkelet" "panorámás" "18 m²" "nem" "legfelso emelet, nem tetotéri" "önálló garázs - megvásárolható" "5 M Ft" NA NA
"9" "24" "51" "2" " 19. kerület, Zrínyi utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északkelet" "kertre nézo" "12 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"10" "84" "102" "3" " 8. kerület, Mátyás tér " NA "újszeru" "2018" "luxus" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "dél" "panorámás" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"11" "73.9" "64" "2" " 6. kerület, Teréz körút " NA "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "75.99" "86" "2" " 2. kerület, Margit körút " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"13" "37.4" "60" "1" " 9. kerület, Belso-Ferencváros " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "69.9" "105" "2" " 2. kerület, Felhévíz " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "73.9" "55" "2" " 6. kerület, Külso-Terézváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "52" "60" "2" " 14. kerület, Cházár András utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "29.9" "55" "2" " 16. kerület, Futórózsa utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"18" "29.9" "53" "2" " 15. kerület, Nyírpalota út " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett"
"19" "43.9" "76" "2" " 7. kerület, Bethlen Gábor utca " NA "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"20" "477.1" "367" "1" " 12. kerület, Szarvas Gábor út " NA "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
