"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "13.2" "15" "1" " 8. kerület, Baross utca 126. " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "174.9" "170" "5" " 2. kerület, Felso Zöldmáli út " "felújított" "luxus" "A+" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "panorámás" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1981-2000 között" "van" "30 m²" NA NA NA
"3" "69.75" "50" "3" " 13. kerület, Dagály utca " "újszeru" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "penthouse" "teremgarázs hely - megvásárolható" "2019" "van" "150 m²" NA NA NA
"4" "15" "73" "2" " 8. kerület, Osztály utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"5" "29.99" "41" "1" " 7. kerület, Marek József utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"6" "43.3" "52" "2" " 11. kerület, Kelenföld " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "van" NA NA NA NA
"7" "25.2" "56" "2" " 20. kerület, Gubacsipuszta – Eperjes utcai lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA "nincs megadva" NA NA
"8" "112" "127" "3" " 14. kerület, Herminamezo " "újszeru" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "1981-2000 között" "van" "94.17 m²" NA NA NA
"9" "24.9" "46" "1" " 18. kerület, Vándor Sándor utca " "felújított" "összkomfortos" "CC" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "részt vett" "25 000 Ft/hó" NA
"10" "125.02" "107" "3" " 5. kerület, Semmelweis utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"11" "96.81" "62" "2" " 6. kerület, Andrássy út 68. " "újszeru" "luxus" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "van" "9 m²" NA "92 000 Ft/hó" "20 000 €"
"12" "22.9" "35" "1" " 19. kerület, Felsokispest " "felújított" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "4 m²" "nincs megadva" NA NA
"13" "89" "104" "3" " 6. kerület, Rippl-Rónai utca 25b " "felújított" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület" NA "van" "15 m²" NA NA NA
"14" "42" "41" "1" " 3. kerület, Újliget sétány " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA NA
"15" "233.69" "146" "4" " 2. kerület, Orgona utca " "újszeru" "luxus" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" NA "65 m²" NA NA "10 M Ft"
"16" "89.9" "88" "3" " 9. kerület, Köztelek utca " "felújított" "luxus" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" "1 m²" NA NA NA
"17" "17.9" "38" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA NA NA
"18" "180.27" "81" "2" " 5. kerület, Lipótváros " "újszeru" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" "2001-2010 között" "van" NA NA NA NA
"19" "18.9" "29" "1" " 7. kerület, Murányi utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"20" "59.5" "79" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "2 m²" NA NA NA
