"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "79.9" "90" "4" " 2. kerület, Víziváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "29.9" "35" "1" " 7. kerület, Dózsa György út " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" NA NA NA NA
"3" "86" "83" "3" " 6. kerület, Rózsa utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2018" "van" "21 000 Ft/hó" "2 m²" NA NA
"4" "27.5" "49" "2" " 3. kerület, Szolo utca " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA "4 m²" "részt vett" NA
"5" "46.9" "48" "2" " 3. kerület, Blanka köz " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA "6 m²" NA "2 M Ft"
"6" "36.9" "47" "2" " 13. kerület, Fáy köz " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "van" NA "1 m²" NA NA
"7" "60.4" "75" "3" " 13. kerület, Röppentyu utca 32. " "új építésu" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA "9 m²" NA "4.45 M Ft"
"8" "37.8" "49" "2" " 13. kerület, Röppentyu utca 32. " "új építésu" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA NA NA "4.45 M Ft"
"9" "27.9" "60" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "30 000 Ft/hó" NA NA NA
"10" "36.4" "42" "2" " 7. kerület, István utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"11" "26.5" "28" "1" " 7. kerület, Szövetség utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"12" "24.5" "21" "1" " 8. kerület, Or utca " "felújított" "komfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA NA
"13" "59.5" "79" "2" " 2. kerület, Szilágyi Erzsébet fasor " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"14" "42.9" "54" "2" " 2. kerület, Törökvész út " "közepes állapotú" "összkomfortos" "nincs megadva" "10 felett" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "kelet" "panorámás" "nem" NA "udvari beálló - benne van az árban" NA "van" "38 000 Ft/hó" "5 m²" NA NA
"15" "51.9" "80" "3" " 13. kerület, Népfürdo utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" "nincs" NA "5 m²" "nem vett részt" NA
