"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "parkolohely_ara" "rezsikoltseg" "legkondicionalo"
"1" "37" "44" "1" " 7. kerület, Dózsa György út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "55.23" "56" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"3" "29.9" "54" "2" " 8. kerület, Szigony utca " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" "6 m²" "nem vett részt" NA NA NA
"4" "36.8" "40" "2" " 8. kerület, Mátyás tér " "újszeru" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2014" "5 m²" NA NA NA NA
"5" "74" "91" "3" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"6" "48.8" "67" "2.5" " 4. kerület, Lorántffy Zsuzsanna utca " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "4.3 m²" NA "2.5 M Ft" NA NA
"7" "95" "135" "4" " 4. kerület, Lorántffy Zsuzsanna utca " "nincs megadva" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "9 m²" NA "2.5 M Ft" NA NA
"8" "73.9" "77" "3" " 5. kerület, Lipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"9" "29.9" "52" "2" " 8. kerület, Dobozi utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "108.5" "100" "3" " 1. kerület, Ostrom utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA "25 000 Ft/hó" NA
"11" "49.99" "78" "3" " 7. kerület, Garay utca " "jó állapotú" "komfortos" "DD" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA "35 000 Ft/hó" "nincs"
"12" "32.9" "57" "2" " 3. kerület, Hollós Korvin Lajos utca 10. " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "3 m²" "nincs megadva" NA "12 Ft/hó" "van"
"13" "29" "53" "2.5" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "nincs megadva" NA NA NA
"14" "35.95" "69" "2" " 4. kerület, Lóverseny tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "8 m²" "nincs megadva" NA NA NA
"15" "22.9" "38" "1" " 14. kerület, Herminamezo " "felújítandó" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"16" "30.9" "53" "2" " 11. kerület, Koérberek – Tóváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "8 m²" NA NA NA NA
"17" "30.9" "50" "2" " 8. kerület, Losonci tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "részt vett" NA NA NA
"18" "166" "149" "4" " 11. kerület, Szentimreváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"19" "59" "76" "2" " 2. kerület, Margit körút " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA "nincs"
