"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "36" "66" "3" " 3. kerület, Pacsirtamezo utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "udvari" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "63.81" "66" "3" " 11. kerület, Kapolcs utca " "új építésu" "2018" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "kertre nézo" "15 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "4 M Ft" NA
"3" "139" "103" "3" " 3. kerület, Óarany utca " "új építésu" "2020" "luxus" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "24 m²" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" NA NA NA
"4" "30.5" "33" "1" " 11. kerület, Fehérvári út " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "van" NA NA
"5" "28.89" "33" "1" " 11. kerület, Etele út 20. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"6" "54.9" "95" "3" " 9. kerület, Angyal utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"7" "47.41" "60" "2" " 6. kerület, Jókai utca 10. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"8" "30.5" "54" "2" " 4. kerület, Árpád út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "van" NA "13 000 Ft/hó"
"9" "31.9" "50" "2" " 14. kerület, Nagyzugló – Kerepesi úti lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "2.5 m²" "nem" "nincs megadva" NA "utca, közterület - ingyenes" NA NA "19 000 Ft/hó"
"10" "29.98" "57" "2" " 20. kerület, Helsinki út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA "8 610 Ft/hó"
"11" "85" "85" "4" " 3. kerület, Óbuda-Óváros " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "10.64 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"12" "79.75" "80" "4" " 3. kerület, Óbuda-Óváros " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "kelet" "kertre nézo" "16 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "4.5 M Ft" NA
"13" "57.9" "55" "2" " 11. kerület, Pálinkás Antal utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel, gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "7 m²" "nem" "nem tetotéri" NA "nincs megadva" "van" NA NA
"14" "36.8" "40" "1" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA NA
"15" "165" "134" "4" " 3. kerület, Szépvölgyi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "panorámás" "219 m²" "nem" "penthouse" NA "teremgarázs hely - megvásárolható" "van" "5 M Ft" NA
"16" "35.9" "60" "2" " 11. kerület, Kruspér utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "4" "van" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "40 000 Ft/hó"
"17" "39.9" "68" "2" " 14. kerület, Ond vezér útja " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "nincs" NA NA
"18" "46.99" "46" "2" " 12. kerület, Hegyalja út " "felújított" "1981-2000 között" "duplakomfortos" "AA+" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "14 000 Ft/hó"
"19" "25.7" "50" "1" " 4. kerület, Istvántelki út " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" NA "nincs megadva" "van" NA NA
"20" "49.7" "51" "2" " 12. kerület, Márvány utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "9 000 Ft/hó"
