"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "legkondicionalo"
"1" "19.5" "24" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "126" "77" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "2" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "önálló garázs" "38 000 Ft/hó" NA NA
"3" "99" "114" "5" " 11. kerület, Sasad " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "önálló garázs" "15 000 Ft/hó" "8 m²" NA
"4" "79.9" "94" "4" " 1. kerület, Víziváros " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "50 000 Ft/hó" "1 m²" NA
"5" "23.5" "33" "1" " 8. kerület, Karácsony Sándor utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "8 000 Ft/hó" "25 m²" NA
"6" "26.9" "35" "2" " 19. kerület, Kosárfonó utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "3 m²" NA
"7" "38" "35" "1" " 3. kerület, Szolo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA
"8" "49.5" "41" "1" " 2. kerület, Törökvész " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" NA "udvari beálló" "8 000 Ft/hó" "6 m²" NA
"9" "115" "135" "4" " 12. kerület, Istenhegy – Diósárok " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "24 m²" NA
"10" "21.5" "45" "2" " 21. kerület, Tejút utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA "4 m²" NA
"11" "28.9" "31" "1" " 14. kerület, Istvánmezo " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"12" "42" "40" "1" " 9. kerület, Tinódi utca 3. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" "24 000 Ft/hó" "2 m²" "van"
"13" "26.9" "36" "1" " 13. kerület, Béke tér " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA "nincs"
"14" "52.99" "72" "2" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "16 m²" NA
"15" "31.4" "53" "2" " 11. kerület, Fehérvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "3 m²" "nincs"
"16" "44" "80" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "35 000 Ft/hó" NA "nincs"
"17" "28.7" "46" "1" " 14. kerület, Szentmihályi út " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" "17 Ft/hó" NA NA
"18" "27.5" "33" "1" " 9. kerület, Viola utca 4. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "20 000 Ft/hó" NA NA
"19" "24.9" "56" "2" " 21. kerület, Károli Gáspár utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²" NA
"20" "27.8" "60" "2" " 19. kerület, Kosárfonó utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA
