"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara" "legkondicionalo"
"1" "36" "63" "2" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "28 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "26.99" "24" "1" " 11. kerület, Kondorosi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "20 000 Ft/hó" "igen" "egy helyiségben" "kelet" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "4.5 M Ft" NA
"3" "42" "43" "1" " 1. kerület, Víziváros " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
"4" "29.9" "31" "1" " 12. kerület, Alkotás utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs"
"5" "99.9" "93" "3" " 5. kerület, Váci utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA "van"
"6" "23.9" "24" "1" " 3. kerület, Viador utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "nincs"
"7" "34.9" "35" "2" " 7. kerület, Almássy tér " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "34.99" "31" "1" " 11. kerület, Kondorosi út " "újszeru" "2016" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "van"
"9" "91.3" "141" "4" " 8. kerület, Szentkirályi utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"10" "29.9" "34" "1" " 8. kerület, Somogyi Béla utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"11" "26.9" "70" "3" " 10. kerület, Dombteto utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "van"
"12" "54.9" "64" "1" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"13" "105" "112" "4" " 7. kerület, Kertész utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "22 500 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "2.3 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "van"
"14" "44.9" "62" "3" " 19. kerület, Kispest " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "5.7 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2.5 M Ft" "van"
"15" "29.9" "64" "3" " 17. kerület, 513. utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"16" "74.9" "78" "4" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "2015" "összkomfortos" "BB" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "18 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "34 m²" "nincs megadva" "tetotéri" NA "nincs megadva" NA NA
"17" "49.95" "85" "3" " 7. kerület, Murányi utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "17 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"18" "59.9" "86" "4" " 15. kerület, Rákospalota " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA
"19" "30.9" "47" "2" " 14. kerület, Nagyzugló – Egressy téri lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA
