"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "37" "40" "1" " 6. kerület, Aradi utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "37.99" "59" "2" " 13. kerület, Tutaj utca " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"3" "26.9" "51" "2" " 3. kerület, Víziorgona utca 10. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "11 450 Ft/hó" "3 m²" "nincs megadva" NA
"4" "19.5" "35" "1" " 4. kerület, Venetianer utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "utca, közterület" "1950 elott" NA "7 000 Ft/hó" NA NA NA
"5" "19.9" "24" "1" " 15. kerület, Bezsilla Nándor utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor), fan-coil" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA NA NA NA
"6" "31.9" "48" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA NA NA
"7" "29.4" "33" "1" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "10 000 Ft/hó" NA NA NA
"8" "73.1" "86" "3" " 8. kerület, József körút " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"9" "73.1" "86" "3" " 8. kerület, József körút " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"10" "51.5" "121" "3" " 10. kerület, Ligettelek " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1950 elott" "nincs" NA NA NA NA
"11" "65" "50" "2" " 5. kerület, Nádor utca " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"12" "29.9" "33" "1" " 11. kerület, Bártfai utca " "felújított" "nincs megadva" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA "részt vett" NA
"13" "59.8" "70" "2" " 14. kerület, Alsórákos – Paskálpark " "újszeru" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA "5 m²" NA NA
"14" "32.49" "42" "2" " 7. kerület, Vörösmarty utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"15" "21.9" "28" "1" " 19. kerület, Jáhn Ferenc utca 92. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "11 000 Ft/hó" "40 m²" NA NA
