"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "lakopark_neve"
"1" "110" "91" "3" " 5. kerület, Galamb utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "74.9" "86" "3" " 1. kerület, Krisztinaváros " "újszeru" "luxus" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "van" "32 000 Ft/hó" NA NA
"3" "69.9" "74" "3" " 6. kerület, Vörösmarty utca " "felújított" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA
"4" "31.2" "49" "2" " 21. kerület, II. Rákóczi Ferenc út " "újszeru" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2001-2010 között" NA "15 000 Ft/hó" "2 M Ft" NA
"5" "32.6" "59" "2" " 21. kerület, Temesvári utca " "felújított" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "panorámás" "9 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "25 000 Ft/hó" NA NA
"6" "98.5" "75" "2" " 1. kerület, Márvány utca " "újszeru" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "utcai" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2018" "van" NA "6 M Ft" NA
"7" "42.9" "82" "2" " 7. kerület, Csengery utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"8" "47.9" "70" "2" " 7. kerület, Dembinszky utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "40 000 Ft/hó" NA NA
"9" "64.9" "52" "2" " 3. kerület, Újlak " "újszeru" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "panorámás" "10 m²" "nem" "nem tetotéri" "utca, közterület" "2001-2010 között" NA NA NA NA
"10" "64.9" "81" "3" " 3. kerület, Óbuda-Óváros " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" NA "35 000 Ft/hó" NA NA
"11" "44.99" "73" "4" " 19. kerület, Kispest-Óváros " "új építésu" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" "6 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2020" "nincs" NA NA NA
"12" "46.9" "73" "4" " 19. kerület, Kispest-Óváros " "új építésu" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "6 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2020" "nincs" NA NA NA
"13" "26.9" "32" "1" " 6. kerület, Eötvös utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 000 Ft/hó" NA NA
"14" "295" "231" "5" " 2. kerület, Törökvész " "jó állapotú" "luxus" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "26 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "van" NA "15 M Ft" NA
"15" "29.9" "55" "2" " 14. kerület, Szikszó park " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA NA
"16" "39.9" "38" "1" " 3. kerület, Óbuda-Óváros " "újszeru" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "2001-2010 között" NA NA NA NA
"17" "155" "103" "4" " 13. kerület, Westend Ház " "új építésu" "duplakomfortos" "AA" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "igen" "külön és egyben is" "délnyugat" "panorámás" "27 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" NA "7 M Ft" "Westend Ház"
