"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "30" "34" "1" " 10. kerület, Zágrábi köz " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "38.5" "74" "3" " 8. kerület, Tisztviselotelep " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"3" "66.9" "94" "3" " 12. kerület, Csaba utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"4" "90" "115" "3" " 14. kerület, Thököly út " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" "van" "4 m²" NA NA
"5" "125" "150" "4" " 6. kerület, Nagymezo utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA
"6" "69.2" "60" "3" " 11. kerület, Hosszúrét " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "14 m²" NA NA
"7" "42" "57" "2" " 8. kerület, Bacsó Béla utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - bérelheto" "2001-2010 között" NA "5 m²" NA NA
"8" "31.5" "33" "1" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "2019" "van" "4 m²" NA NA
"9" "18.9" "19" "1" " 12. kerület, Trencséni utca " "felújított" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "79" "84" "2" " 5. kerület, Lipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
