"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg"
"1" "44.9" "62" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "2" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "32.9" "56" "2" " 11. kerület, Sashegy " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "5 m²" "nem" "nem tetotéri" NA "utca, közterület" "nincs" NA
"3" "47" "50" "2" " 11. kerület, Köbölkút utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"4" "86.9" "86" "2" " 11. kerület, Kemenes utca 8. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "13 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "25 000 Ft/hó"
"5" "38.9" "50" "2" " 11. kerület, Lágymányosi lakótelep " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"6" "77.7" "90" "3" " 7. kerület, Damjanich utca " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "van" "40 000 Ft/hó"
"7" "70" "70" "2" " 5. kerület, Lipótváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nem" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "nincs" NA
"8" "19.9" "28" "1" " 17. kerület, Rákoskeresztúr " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "6" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"9" "25.49" "52" "2" " 21. kerület, Szent László utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" "van" NA
"10" "112" "102" "3" " 12. kerület, Zugliget " "nincs megadva" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "van" NA
