"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "86" "94" "4" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "délnyugat" "kertre nézo" "38 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"2" "26.9" "35" "1" " 10. kerület, Balkán utca 4. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "23 000 Ft/hó" "részt vett" NA
"3" "36.9" "75" "3" " 19. kerület, Nagysándor József utca 28. " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"4" "24.8" "30" "1" " 8. kerület, Homok utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA
"5" "89.9" "85" "1.5" " 9. kerület, Vágóhíd utca " "újszeru" "2018" "luxus" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "15 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "39.9" "46" "1" " 2. kerület, Kandó Kálmán utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "3 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "30 000 Ft/hó" NA NA
"7" "33.9" "68" "3" " 10. kerület, Újhegyi sétány " "felújított" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nincs megadva" NA
"8" "72" "146" "4" " 7. kerület, Rózsa utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "60 000 Ft/hó" NA NA
"9" "22.49" "26" "1" " 11. kerület, Bartók Béla út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "27.3" "53" "2" " 18. kerület, Havanna lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" "8 000 Ft/hó" "részt vett" NA
"11" "28.9" "54" "2" " 4. kerület, Deák Ferenc utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nincs megadva" NA
"12" "86.6" "101" "4" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "2014" "duplakomfortos" "A+" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "utcai" "10 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA "5 M Ft"
"13" "24.3" "35" "1" " 4. kerület, Virág utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "6 640 Ft/hó" "nincs megadva" NA
"14" "80" "72" "2" " 7. kerület, Síp utca " "újszeru" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "89" "124" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" "van" NA NA NA
"16" "36.8" "40" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "utcai" "5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA "5 M Ft"
"17" "25.99" "72" "3" " 18. kerület, Havanna-lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA
