"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "39.9" "52" "1" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "59" "67" "2" " 13. kerület, Pap Károly utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA NA NA
"3" "27.99" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "van" "nincs megadva" NA
"4" "36.5" "37" "1" " 2. kerület, Fény utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1.5 m²" NA NA NA
"5" "41" "69" "2" " 7. kerület, Dob utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "52" "80" "4" " 13. kerület, Népfürdo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "egyéb" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület" "4 m²" NA "nincs megadva" NA
"7" "32.6" "48" "2" " 3. kerület, Solymár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA "nincs megadva" NA
"8" "46.9" "56" "2" " 13. kerület, Béke utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nem" NA "utca, közterület - fizetos övezet" NA "van" NA "42 000 Ft/hó"
"9" "32.9" "48" "2" " 14. kerület, Egressy út 1. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "egyéb kazán" "nem" "egy helyiségben" "nincs megadva" "panorámás" "igen" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1 m²" "nincs" NA "11 000 Ft/hó"
"10" "19.9" "48" "2" " 19. kerület, Szabó Ervin utca " "felújítandó" "1950 elott" "komfortos" "GG" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "69.9" "81" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "21 000 Ft/hó"
"12" "35.3" "56" "2" " 13. kerület, Róbert Károly körút " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "30 000 Ft/hó"
"13" "40.9" "45" "2" " 11. kerület, Budaörsi út " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "32.9" "66" "3" " 3. kerület, Polgár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" "van" "részt vett" NA
"15" "25.9" "47" "2" " 21. kerület, Csepel-Kertváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "4.5 m²" "van" NA "25 000 Ft/hó"
"16" "99.9" "97" "2" " 13. kerület, Pannónia utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "25.9" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "3 m²" "nincs" "nem vett részt" "10 000 Ft/hó"
"18" "49.6" "72" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA "17 000 Ft/hó"
"19" "176" "100" "3" " 1. kerület, Tabán " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "99" "99" "2" " 1. kerület, Ostrom utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "3 m²" NA NA "34 000 Ft/hó"
