"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "lakopark_neve" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "29.9" "38" "1" " 8. kerület, Rákóczi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "102" "105" "3" " 5. kerület, Szent István körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA NA NA NA
"3" "49.7" "48" "2" " 13. kerület, Szent László út " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "igen" "nem tetotéri" "önálló garázs - bérelheto" "31 m²" "van" NA NA NA NA
"4" "34.4" "42" "2" " 15. kerület, Vasutaskert " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gáz (cirko)" "igen" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "5.25 m²" "van" "Vasutaskert" "1.6 M Ft" NA NA
"5" "36.7" "35" "1" " 13. kerület, Meder utca 2-4 " "újszeru" "2019" "összkomfortos" "CC" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 m²" "van" NA "4.5 M Ft" NA NA
"6" "144.7" "129" "5" " 11. kerület, Sasad " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "33 m²" "van" NA "5 M Ft" NA NA
"7" "26" "35" "1" " 4. kerület, Nyár utca 28. " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA "nem vett részt" NA
"8" "210" "156" "4" " 13. kerület, Nyugati tér " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"9" "65.9" "59" "2" " 11. kerület, Sasad " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "15 m²" "van" NA "5 M Ft" NA NA
"10" "49.9" "66" "2" " 2. kerület, Országút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA "14 000 Ft/hó"
"11" "76.7" "69" "3" " 11. kerület, Sasad " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "15 m²" "van" NA "5 M Ft" NA NA
"12" "44.9" "58" "2" " 14. kerület, Ungvár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"13" "65.9" "58" "3" " 14. kerület, Ungvár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "12 m²" NA NA NA NA NA
"14" "96" "100" "3" " 9. kerület, Mester utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m vagy magasabb" "fan-coil" "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" "van" NA NA NA "35 000 Ft/hó"
"15" "44.9" "58" "2" " 14. kerület, Ungvár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"16" "65.9" "58" "3" " 14. kerület, Ungvár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "12 m²" NA NA NA NA NA
"17" "30.9" "50" "2" " 11. kerület, Etele út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nem vett részt" NA
"18" "74.9" "94" "3" " 6. kerület, Nagymezo utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"19" "59" "61" "2" " 2. kerület, Víziváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "4 m²" "van" NA NA NA NA
