"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram"
"1" "18" "38" "1" " 10. kerület, Salgótarjáni utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "33.9" "36" "1" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA
"3" "53.9" "79" "2" " 8. kerület, József körút " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"4" "57.9" "86" "2" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA
"5" "29.5" "36" "1" " 11. kerület, Hadak útja " "felújított" NA "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" "4 m²" NA NA
"6" "29.3" "36" "1" " 13. kerület, Angyalföld " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "18 000 Ft/hó" NA
"7" "37.9" "33" "2" " 2. kerület, Lublói utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "10 000 Ft/hó" NA
"8" "40.6" "74" "2" " 13. kerület, Keszkeno utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"9" "118.6" "117" "3" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "54 m²" NA NA
"10" "33.99" "47" "2" " 4. kerület, Újpest " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "kertre nézo" "nem" "zárószint" "utca, közterület - fizetos övezet" NA NA NA
"11" "29.99" "69" "2" " 10. kerület, Harmat utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "47.5" "62" "3" " 11. kerület, Mohai út " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "részt vett"
"13" "13.5" "27" "1" " 15. kerület, Eötvös utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "29.9" "51" "2" " 8. kerület, Szigony utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" "9 000 Ft/hó" "részt vett"
"15" "34.9" "51" "2" " 3. kerület, Kaszásdulo " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "nincs megadva"
"16" "74.6" "88" "2" " 13. kerület, Szent László út 8. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" NA "utca, közterület - ingyenes" "8 m²" "30 000 Ft/hó" NA
"17" "26.9" "30" "1" " 3. kerület, Óbuda-Óváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA "16 000 Ft/hó" NA
"18" "26.9" "36" "1" " 17. kerület, Rákoskeresztúr " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" NA "utca, közterület" NA NA NA
"19" "82" "60" "2" " 5. kerület, Egyetem tér " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "69" "92" "3" " 1. kerület, Alagút utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
