"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "81.5" "156" "4" " 8. kerület, Luther utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "31 500 Ft/hó" "nem" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "116.9" "120" "6" " 6. kerület, Izabella utca " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA
"3" "32" "64" "2" " 10. kerület, Korösi Csoma Sándor út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"4" "41.5" "67" "2" " 19. kerület, Ady Endre út 81. " "újszeru" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA
"5" "64.9" "82" "2" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"6" "78.9" "93" "3" " 12. kerület, Orbánhegy " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "12 m²" NA NA
"7" "179" "180" "6" " 5. kerület, Curia utca " "felújított" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "159" "130" "3" " 2. kerület, Törökvész " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "59 m²" NA NA
"9" "109" "103" "3" " 2. kerület, II/A kerület – Remetekertváros " "felújított" "2012" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "van" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "38 m²" NA NA
"10" "56" "82" "3" " 7. kerület, Nagy Diófa utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" NA NA NA
"11" "71.5" "106" "4" " 15. kerület, Rákospalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "27 m²" NA NA
"12" "76.9" "90" "3" " 12. kerület, Thomán István utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "11 m²" NA NA
"13" "60.11" "70" "3" " 13. kerület, Jász utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "délnyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "9.39 m²" NA "3 M Ft"
"14" "35.9" "56" "2" " 14. kerület, Ond vezér park " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "részt vett" NA
"15" "129" "100" "3" " 13. kerület, Szent István park " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "100 000 Ft/hó" "nem" "külön és egyben is" "északkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA NA
"16" "61.37" "72" "3" " 13. kerület, Jász utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "9 m²" NA "3 M Ft"
"17" "62.96" "74" "3" " 13. kerület, Jász utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "9.18 m²" NA "3 M Ft"
"18" "66.43" "80" "2.5" " 13. kerület, Jász utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "északkelet" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.87 m²" NA "3 M Ft"
"19" "52.5" "53" "1" " 12. kerület, Kissvábhegy " "felújítandó" "1981-2000 között" "komfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nem" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "10 m²" NA NA
"20" "59.9" "44" "1" " 11. kerület, Kondorosi út " "újszeru" "2017" "összkomfortos" "BB" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "20 000 Ft/hó" "igen" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "12 m²" NA "5.9 M Ft"
