"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "119.9" "168" "5" " 3. kerület, Csillaghegy " "felújított" "2001-2010 között" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délkelet" "kertre nézo" "38 m²" "igen" "nem tetotéri" "önálló garázs - kötelezo megvenni" "8.5 M Ft" NA NA
"2" "49.99" "41" "2" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "északkelet" "udvari" "11 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.25 M Ft" NA NA
"3" "25.5" "54" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"4" "16.9" "36" "1" " 21. kerület, Csepel-Csillagtelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "20 000 Ft/hó"
"5" "93.9" "125" "5" " 7. kerület, Erzsébet körút " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"6" "144.9" "95" "2" " 5. kerület, Petofi Sándor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "padlófutés" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"7" "44.5" "60" "2" " 7. kerület, Dob utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"8" "141.1" "73" "2" " 12. kerület, Németvölgy " "új építésu" "2019" "luxus" "A+" "földszint" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "igen" "külön helyiségben" "északkelet" "kertre nézo" "16 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"9" "116.79" "100" "5" " 11. kerület, Mikes Kelemen utca 30-38. " "új építésu" "2021" "összkomfortos" "BB" "3" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "északnyugat" "kertre nézo" "24.35 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.99 M Ft" NA NA
"10" "117.79" "148" "5" " 9. kerület, Máriássy utca 6/a " "új építésu" "2019" "luxus" "CC" "9" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön és egyben is" "délkelet" "panorámás" "43.88 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
