"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "49.9" "110" "3" " 8. kerület, Népszínház utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (konvektor), cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "54.99" "96" "3" " 8. kerület, Kis Stáció utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" "35 000 Ft/hó" NA NA
"3" "38.9" "51" "2" " 9. kerület, Pöttyös utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA
"4" "19.9" "22" "1" " 14. kerület, Semsey Andor utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA NA NA
"5" "50" "102" "3" " 14. kerület, Alsórákos " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "panorámás" "6 m²" "nincs megadva" "tetotéri" "teremgarázs hely - kötelezo megvenni" "1981-2000 között" "van" NA "3 M Ft" NA
"6" "44.95" "58" "3" " 4. kerület, Újpest-Központ " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "udvari" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" "2001-2010 között" "van" NA NA NA
"7" "54.9" "74" "3" " 12. kerület, Krisztinaváros – Városmajor " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"8" "79.9" "93" "3" " 7. kerület, Hernád utca " "felújított" "duplakomfortos" "CC" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "van" "35 000 Ft/hó" NA NA
"9" "55.2" "70" "3" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "9 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2019" NA NA NA NA
"10" "31.9" "55" "2" " 18. kerület, Miklóstelep " "jó állapotú" "összkomfortos" "DD" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - bérelheto" "2001-2010 között" "nincs" "25 000 Ft/hó" "2 000 Ft/hó" NA
"11" "68" "69" "3" " 12. kerület, Galgóczy utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "panorámás" "34.5 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "45 000 Ft/hó" NA NA
"12" "34.9" "49" "2" " 13. kerület, Kárpát utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "1950-1980 között" NA "20 000 Ft/hó" NA "nincs megadva"
"13" "29.9" "41" "1" " 6. kerület, Székely Bertalan utca 24. " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "13 000 Ft/hó" NA NA
"14" "57.9" "90" "2" " 13. kerület, Újlipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" "nincs" "12 000 Ft/hó" NA NA
"15" "27.9" "44" "2" " 15. kerület, Rákos út " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" "1981-2000 között" "van" NA NA NA
"16" "21.9" "37" "1" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 000 Ft/hó" NA "nincs megadva"
"17" "42.9" "62" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"18" "159" "118" "4" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "délkelet" "kertre nézo" "56 m²" "igen" "nem tetotéri" "önálló garázs" "2019" NA NA NA NA
"19" "39.5" "47" "1" " 7. kerület, Szövetség utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
