"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "32.5" "35" "1" " 13. kerület, Madarász Viktor utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "54.9" "96" "3" " 14. kerület, Thököly út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" "13 000 Ft/hó" NA NA NA
"3" "69.9" "63" "2" " 2. kerület, Margit körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "van" NA NA
"4" "49.9" "45" "2" " 2. kerület, Herman Ottó út 2/d " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "10 m²" NA
"5" "54.9" "57" "2" " 5. kerület, Lipótváros " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"6" "62.9" "89" "2" " 11. kerület, Szentimreváros " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "17 900 Ft/hó" NA "2 m²" NA
"7" "31.2" "37" "1" " 3. kerület, Óbuda – Filatorigát " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"8" "32.9" "34" "1" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"9" "211" "96" "3" " 2. kerület, Szemlohegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "27 m²" NA
"10" "48" "78" "3" " 14. kerület, Egressy út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
