"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg" "lakopark_neve"
"1" "168" "191" "5" " 3. kerület, Erdoalja út " "nincs megadva" "2012" "duplakomfortos" "nincs megadva" "1" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "75" "93" "3" " 3. kerület, Erdoalja út " "nincs megadva" "2012" "összkomfortos" "nincs megadva" "2" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nincs megadva" "tetotéri" "utca, közterület" NA NA NA NA NA NA
"3" "61.29" "79" "3" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "6.6 m²" "2.5 M Ft" NA NA NA NA
"4" "74.9" "72" "3" " 5. kerület, Falk Miksa utca " "felújított" NA "nincs megadva" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"5" "134.9" "100" "2" " 6. kerület, Andrássy út 37. " "felújított" NA "luxus" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1 m²" NA "van" NA NA NA
"6" "129.9" "110" "3" " 5. kerület, Belváros " "nincs megadva" NA "duplakomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "van" NA NA NA
"7" "48.6" "46" "1" " 8. kerület, Bíró Lajos utca " "újszeru" "2019" "összkomfortos" "AA+" "4" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "8.13 m²" "3.98 M Ft" "van" NA NA NA
"8" "26.4" "36" "1" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "2.64 m²" NA NA "nincs megadva" NA NA
"9" "117" "141" "4" " 11. kerület, Hosszúrét " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "tetotéri" "teremgarázs hely - benne van az árban" "7 m²" NA "van" NA NA NA
"10" "64.9" "71" "2" " 6. kerület, Csengery utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "45 000 Ft/hó" NA
"11" "59.9" "79" "2" " 5. kerület, Belváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"12" "147" "147" "3" " 12. kerület, Virányos " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "fan-coil, házközponti egyedi méréssel" "nem" "külön és egyben is" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "44 m²" "3 M Ft" NA NA "70 000 Ft/hó" NA
"13" "320" "286" "6" " 13. kerület, Népfürdo utca " "felújított" "2001-2010 között" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "penthouse" "teremgarázs hely - megvásárolható" "128 m²" NA "van" NA "180 000 Ft/hó" NA
"14" "34.2" "55" "1" " 9. kerület, Dési Huber utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" NA "utca, közterület - ingyenes" "6 m²" NA NA NA NA NA
"15" "59.9" "94" "4" " 12. kerület, Németvölgy " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA NA NA
"16" "32.4" "32" "1" " 13. kerület, Vizafogó " "újszeru" "2017" "nincs megadva" "nincs megadva" "nincs megadva" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "14 m²" NA NA NA NA NA
"17" "49.8" "64" "3" " 13. kerület, Vizafogó " "újszeru" "2017" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA NA NA
"18" "67" "67" "3" " 13. kerület, Angyalföld " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "14.5 m²" NA "van" NA NA NA
"19" "133.23" "121" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "2018" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "48.81 m²" NA NA NA NA "Sasad Liget VI. ütem"
"20" "229" "213" "5" " 5. kerület, Váci utca " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA NA
