"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "35.1" "34" "1" " 9. kerület, Márton utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "13 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "52.5" "75" "3" " 8. kerület, Leonardo da Vinci utca 43/B " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"3" "69.9" "59" "2" " 1. kerület, Attila út 61. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "távfutés" "van" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"4" "41.9" "46" "2" " 3. kerület, Pusztakúti út 12. " "nincs megadva" "2020" "összkomfortos" "AA+" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "dél" "utcai" "9 m²" "nem" "nem tetotéri" "udvari beálló" NA NA
"5" "24.7" "31" "1" " 14. kerület, Emília utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "12 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"6" "24.5" "33" "1" " 14. kerület, Cserto park " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"7" "36.2" "48" "2" " 3. kerület, Ágoston utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA
"8" "26.5" "46" "2" " 18. kerület, Vándor Sándor utca 3. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA
"9" "86" "91" "3" " 3. kerület, Flóra utca 7. " "felújított" NA "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "30 000 Ft/hó" "nem" "külön és egyben is" "kelet" "panorámás" "36 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "7 M Ft"
"10" "28.5" "44" "1" " 18. kerület, Királyhágó utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "nincs megadva" "van" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
