"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "26.5" "47" "1" " 9. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA NA
"2" "85.5" "95" "2" " 2. kerület, Országút " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "14 m²" NA NA NA NA NA
"3" "40.9" "36" "1" " 8. kerület, Corvin sétány " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "teremgarázs hely - bérelheto" "7 m²" NA NA NA NA NA
"4" "85.5" "95" "2" " 2. kerület, Bimbó út " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "14 m²" NA NA NA NA NA
"5" "49.9" "65" "2" " 11. kerület, Október huszonharmadika utca " "felújított" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA NA NA
"6" "37" "68" "2" " 19. kerület, Kós Károly tér " "felújított" "1950 elott" "összkomfortos" "AA" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA "nincs" "25 000 Ft/hó" NA NA NA
"7" "62.03" "61" "2" " 11. kerület, Budai Walzer I. ütem " "új építésu" "2021" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "18.91 m²" "van" NA "Budai Walzer I. ütem" "4 M Ft" NA
"8" "71.59" "68" "2.5" " 11. kerület, Budai Walzer I. ütem " "új építésu" "2021" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "21.96 m²" "van" NA "Budai Walzer I. ütem" "4 M Ft" NA
"9" "71.34" "70" "2" " 11. kerület, Budai Walzer I. ütem " "új építésu" "2021" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "37.66 m²" "van" NA "Budai Walzer I. ütem" "4 M Ft" NA
"10" "49" "44" "2" " 8. kerület, Nagy Templom utca 34. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4.6 m²" "van" "30 000 Ft/hó" NA NA NA
