"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "120" "67" "1" " 5. kerület, Ferenciek tere " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "43.9" "68" "3" " 15. kerület, Rákospalota " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA NA
"3" "134.99" "90" "3" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "43" "51" "1" " 11. kerület, Lágymányos " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"5" "44.99" "54" "2" " 11. kerület, Lágymányos " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"6" "43" "47" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "54.9" "55" "1" " 6. kerület, Nagymezo utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "16.9" "26" "1" " 8. kerület, Teleki László tér " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "29.7" "47" "2" " 8. kerület, Baross utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "nincs megadva" NA NA
"10" "29.9" "52" "2" " 8. kerület, Szigony utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "nincs megadva" NA NA
"11" "33" "74" "2" " 4. kerület, József Attila utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"12" "49.99" "50" "1" " 5. kerület, Szent István körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA "25 000 Ft/hó" NA
"13" "53.9" "85" "2" " 7. kerület, Garay utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "egyéb" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "39.2" "50" "2" " 14. kerület, Egyenes utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "8 m²" NA NA "2 M Ft"
"15" "37.99" "49" "2" " 18. kerület, Kisfaludy utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" NA NA NA
"16" "64.9" "81" "2" " 7. kerület, Nyár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"17" "59.9" "82" "3" " 11. kerület, Sashegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" "12.5 m²" NA NA NA
"18" "57" "103" "3" " 7. kerület, Garay utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"19" "55" "57" "1" " 12. kerület, Álom utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA
"20" "52.9" "63" "2" " 14. kerület, Ilosvai Selymes utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" "3 m²" NA NA "2 M Ft"
