"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "parkolohely_ara"
"1" "22.8" "35" "1" " 15. kerület, Eötvös utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület" NA NA NA
"2" "43.9" "69" "2" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"3" "23.9" "53" "2" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
"4" "47.9" "69" "3" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "17 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"5" "117" "149" "7" " 8. kerület, Józsefváros – Palotanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "39.9" "62" "3" " 2. kerület, Víziváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"7" "27.5" "66" "2" " 20. kerület, Baross utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" NA "nincs megadva" NA "7 m²" NA
"8" "42.9" "52" "1" " 11. kerület, Sasadi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 m²" NA
"9" "45" "45" "2" " 13. kerület, Gömb utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "25 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - bérelheto" NA "21 m²" "15 000 Ft/hó"
"10" "48.9" "52" "2" " 2. kerület, Bogár utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" NA "8 m²" NA
"11" "27.5" "34" "1" " 8. kerület, Józsefváros – Ganznegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "87" "95" "3" " 2. kerület, Rózsadomb " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "47.9" "71" "2" " 7. kerület, Marek József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "31.9" "49" "2" " 14. kerület, Törökor " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"15" "139.9" "110" "2" " 13. kerület, Petneházy utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "70 m²" NA
"16" "52" "64" "3" " 10. kerület, Gergely utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "24 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"17" "27.9" "24" "1" " 9. kerület, Sobieski János utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"18" "28.9" "43" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" "nem" "nincs megadva" "nincs megadva" NA NA NA
"19" "38.9" "56" "2" " 6. kerület, Németh László utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "295" "153" "5" " 2. kerület, Törökvész " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "29 m²" NA
