"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "30.9" "56" "2" " 15. kerület, Lóvasút köz 5/B " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, gáz (konvektor)" "nincs" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "4.5 m²" "nem" "udvari beálló - benne van az árban" NA NA NA NA
"2" "19.9" "38" "1" " 10. kerület, Téglagyárdulo " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "észak" "nincs megadva" "3.5 m²" "nincs megadva" "udvari beálló - benne van az árban" "nincs megadva" NA NA NA
"3" "41.88" "42" "2" " 3. kerület, Királyok útja 291. " "jó állapotú" "2001-2010 között" "összkomfortos" "AA" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "igen" "külön és egyben is" "nincs megadva" "udvari" "4.67 m²" "nem" "nincs megadva" "nem tetotéri" NA NA NA
"4" "109.9" "248" "8" " 6. kerület, Rózsa utca 72. " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "nincs" "nincs" NA "nem" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "utca, közterület - fizetos övezet" "nincs megadva" NA NA NA
"5" "23.9" "35" "1" " 8. kerület, Józsefváros – Népszínháznegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA NA
"6" "103.9" "105" "3" " 2. kerület, Tüske utca " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "23 m²" "igen" "önálló garázs - benne van az árban" "nem tetotéri" NA NA NA
"7" "26" "45" "1" " 15. kerület, Lóvasút köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "30 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" "4.5 m²" "nem" "utca, közterület - ingyenes" NA NA NA NA
"8" "65.5" "88" "4" " 14. kerület, Ilka utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" NA "nincs megadva" "utca, közterület" "nem tetotéri" NA NA NA
"9" "17.5" "43" "1" " 21. kerület, Szabadság utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA
"10" "35.2" "58" "2" " 11. kerület, Neszmélyi út 38. " "felújított" NA "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "3.5 m²" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" "nincs megadva" NA NA
"11" "30.9" "44" "2" " 13. kerület, Váci út " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA NA
"12" "41.82" "46" "2" " 13. kerület, Béke Residence " "új építésu" "2022" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA NA "igen" "nincs megadva" "dél" "nincs megadva" "10.74 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Béke Residence" "2.99 M Ft"
"13" "29.9" "31" "1" " 12. kerület, Krisztinaváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "74" "80" "3" " 2. kerület, Törökvész " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "20 m²" "nem" "önálló garázs - megvásárolható" "nem tetotéri" NA NA "4 M Ft"
"15" "27.9" "58" "2" " 21. kerület, József Attila utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "utca, közterület" "nincs megadva" "nem vett részt" NA NA
"16" "33.9" "66" "3" " 4. kerület, Laborfalvi Róza utca " "felújított" "1950-1980 között" "összkomfortos" "CC" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "45 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "3 m²" "nem" "utca, közterület - ingyenes" "nem tetotéri" "nem vett részt" NA NA
"17" "57.9" "80" "4" " 6. kerület, Izabella utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "77.5" "86" "3" " 13. kerület, Szent István park " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "45 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "utca, közterület" "nem tetotéri" NA NA NA
"19" "66" "113" "4" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "utca, közterület" "nem tetotéri" NA NA NA
"20" "57.9" "83" "2" " 7. kerület, Dohány utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA NA
