"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "150" "149" "5" " 12. kerület, Farkasvölgy " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "34 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA NA
"2" "36.9" "53" "2" " 8. kerület, Kerepesdulo " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"3" "35" "50" "2" " 4. kerület, Kassai utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "30 000 Ft/hó" NA NA NA
"4" "19.9" "35" "1" " 21. kerület, Csepel-Csillagtelep " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "nincs" "25 000 Ft/hó" "nem vett részt" NA NA
"5" "21.6" "28" "1" " 18. kerület, Dolgozó út " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "7 000 Ft/hó" NA NA NA
"6" "28.9" "42" "2" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "10 000 Ft/hó" NA NA NA
"7" "46" "75" "3" " 19. kerület, Zoltán utca " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA
"8" "64.9" "128" "5" " 9. kerület, Márton utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"9" "59.9" "75" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "12 000 Ft/hó" NA NA NA
"10" "29.9" "33" "1" " 14. kerület, Mogyoródi út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA NA
"11" "37.3" "44" "2" " 10. kerület, KOÉR KÖZ II. ÜTEM " "új építésu" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "északkelet" "kertre nézo" "5.2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2021" "nincs" NA NA "KOÉR KÖZ II. ÜTEM" "3.6 M Ft"
"12" "31.5" "54" "2" " 4. kerület, Rózsa utca " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" NA "nem vett részt" NA NA
"13" "85" "98" "3" " 9. kerület, Belso-Ferencváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"14" "79.9" "111" "4" " 2. kerület, Újlak " "közepes állapotú" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"15" "38.5" "54" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" NA "nincs megadva" NA NA NA NA NA NA
"16" "124" "90" "3" " 13. kerület, Újpesti rakpart " "felújított" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "dél" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA NA
"17" "37.9" "69" "3" " 3. kerület, Szolo utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" NA "részt vett" NA NA
"18" "66" "60" "2" " 5. kerület, Balassi Bálint utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"19" "59.5" "79" "2" " 2. kerület, Széll Kálmán tér " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"20" "31" "28" "1" " 2. kerület, Pasarét " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "elektromos" "igen" "egy helyiségben" "dél" "kertre nézo" "11 m²" "igen" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "15 000 Ft/hó" NA NA NA
