"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"1" "45" "56" "2" " 3. kerület, Zápor utca 20. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "31" "49" "1" " 14. kerület, Erzsébet királyné útja " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "27.9" "31" "1" " 14. kerület, Thököly út 152. " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "66.9" "58" "2" " 5. kerület, Honvéd tér " "jó állapotú" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "28 000 Ft/hó" "nem" "egy helyiségben" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" "1 m²" NA
"5" "39.9" "53" "2" " 14. kerület, Thököly út 152. " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3.5 m²" NA
"6" "30.49" "57" "2" " 3. kerület, Bálint György utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"7" "39.9" "70" "3" " 8. kerület, Józsefváros – Népszínháznegyed " "jó állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"8" "29.9" "56" "3" " 19. kerület, Kispesti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "van" "4 m²" "nincs megadva"
"9" "86" "86" "3" " 13. kerület, Kresz Géza utca " "felújított" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "elektromos" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "van" NA NA
"10" "30.9" "53" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA
