"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "46" "64" "2" " 2. kerület, Szépilona " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "10 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA
"2" "51.99" "63" "3" " 14. kerület, Ilosvai Selymes utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, egyéb" "nem" "külön helyiségben" "nyugat" "udvari" "4 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "van" "2 M Ft" NA NA
"3" "24.5" "54" "2" " 18. kerület, Havanna utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "nincs megadva" NA
"4" "45" "46" "1" " 11. kerület, Breznó köz " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "kertre nézo" "2.4 m²" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA "4 M Ft" NA NA
"5" "40.5" "102" "2" " 4. kerület, Deák Ferenc utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "20 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA
"6" "176" "214" "5" " 12. kerület, Istenhegy " "újszeru" "1981-2000 között" "luxus" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "nincs megadva" "panorámás" "38 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"7" "85" "110" "3" " 8. kerület, Baross utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"8" "53.9" "50" "2" " 11. kerület, Virágkertész utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "16 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" "van" NA NA NA
"9" "27.8" "52" "2" " 4. kerület, Újpest-Kertváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"10" "37.9" "38" "1" " 12. kerület, Farkasrét " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "8 m²" "nem" "zárószint" "utca, közterület" NA NA NA "13 000 Ft/hó"
"11" "22.9" "31" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "51.9" "93" "2" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"13" "29.9" "62" "2" " 20. kerület, Baross utca 35. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA
"14" "26.6" "32" "1" " 11. kerület, Hadak útja " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "dél" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett" NA
"15" "54.25" "57" "2" " 6. kerület, Belso-Terézváros " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "8 M Ft" NA NA
"16" "24.7" "58" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"17" "44.1" "55" "2" " 5. kerület, Múzeum körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "nincs megadva" "elektromos" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "40 000 Ft/hó"
"18" "59.5" "79" "2" " 2. kerület, Országút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"19" "43" "49" "2" " 2. kerület, Zuhany utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "nincs" "6 M Ft" NA NA
"20" "23.7" "53" "2" " 18. kerület, Vikár Béla utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
