"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "69.9" "67" "3" " 13. kerület, Westend Ház " "Westend Ház" "új építésu" "2018" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "északkelet" "utcai" "5.1 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 M Ft" NA
"2" "35" "38" "1" " 8. kerület, Józsefváros – Csarnoknegyed " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"3" "49.5" "32" "1" " 7. kerület, Asbóth utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" NA "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "30 000 Ft/hó"
"4" "37.5" "28" "1" " 6. kerület, Bajnok utca " NA "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "44.9" "61" "2" " 14. kerület, Alsórákos " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA
"6" "30" "32" "1" " 3. kerület, Óbudai lakótelep " NA "nincs megadva" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "44.99" "110" "4" " 17. kerület, Rákoscsaba-Újtelep " NA "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "vegyes tüzelésu kazán, gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA
"8" "115" "125" "4" " 7. kerület, Wesselényi utca " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "76.5" "113" "2" " 6. kerület, Podmaniczky utca " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "északkelet" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"10" "33.9" "69" "3" " 4. kerület, Újpest " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "99.9" "80" "3" " 7. kerület, Madách Imre tér " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "van" "nincs megadva" "nincs megadva" "dél" "utcai" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "30 000 Ft/hó"
"12" "54.9" "62" "2" " 6. kerület, Szondi utca " NA "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "60.9" "77" "2" " 13. kerület, Újlipótváros " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"14" "62" "72" "3" " 13. kerület, Kárpát utca " NA "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" NA "nincs megadva" "tetotéri" "nincs megadva" NA "13 000 Ft/hó"
"15" "58.65" "76" "3" " 9. kerület, Vágóhíd utca " NA "nincs megadva" "2019" "luxus" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "16 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA
