"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "69" "60" "2" " 11. kerület, Hosszúréti utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "35 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "14.27 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA
"2" "18.5" "39" "1" " 4. kerület, Újpest " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"3" "25.8" "59" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva"
"4" "56" "60" "2" " 5. kerület, Lipótváros " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"5" "67.9" "88" "3" " 9. kerület, Mester utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"6" "26.9" "50" "2" " 3. kerület, Vörösvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "részt vett"
"7" "31.9" "47" "2" " 14. kerület, Angol utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"8" "27.6" "53" "1" " 17. kerület, Egészségház utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva"
"9" "41.9" "64" "2" " 7. kerület, Wesselényi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "20 000 Ft/hó" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" NA
"10" "26.9" "36" "1" " 14. kerület, Nagyzugló " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA
