"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "44.99" "57" "2" " 11. kerület, Budaörsi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "34.99" "51" "2" " 3. kerület, Amfiteátrum utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "nincs megadva" NA NA
"3" "39.9" "55" "2" " 7. kerület, Hársfa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "20 000 Ft/hó" NA NA NA
"4" "65.9" "124" "4" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "30.9" "54" "2" " 4. kerület, Újpesti lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"6" "35.3" "42" "2" " 8. kerület, Fecske utca 7. " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"7" "32.5" "32" "1" " 6. kerület, Podmaniczky utca " "jó állapotú" "1981-2000 között" "nincs megadva" "C" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "26 000 Ft/hó" NA "nincs" NA
"8" "34.9" "56" "3" " 8. kerület, Józsefváros – Corvinnegyed " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" "26 000 Ft/hó" NA NA "1 000 Ft/hó"
"9" "17.3" "20" "1" " 21. kerület, Szabadság utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"10" "34.3" "42" "2" " 8. kerület, Fecske utca 7. " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"11" "70" "82" "1" " 7. kerület, Izabella utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "panorámás" "74 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs" NA
"12" "26.5" "39" "1" " 9. kerület, Ferenc körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "43.5" "53" "2" " 6. kerület, Csengery utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "34.9" "53" "2" " 17. kerület, Pesti út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"15" "43.9" "56" "3" " 7. kerület, Rottenbiller utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "17 000 Ft/hó" NA NA NA
"16" "27.5" "35" "1" " 13. kerület, Göncöl utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "25.9" "58" "2" " 21. kerület, József Attila utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "nincs" NA
"18" "46" "70" "3" " 3. kerület, Kiscelli utca 18. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "10 000 Ft/hó" "nincs megadva" NA NA
