"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"1" "19.5" "32" "1" " 8. kerület, Diószegi Sámuel utca 36. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "69.9" "60" "3" " 3. kerület, Pünkösdfürdo utca 48. " "újszeru" "2011" "duplakomfortos" "BB" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "80 m²" NA NA
"3" "124.9" "113" "2" " 9. kerület, Vámház körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA NA
"4" "26.9" "44" "2" " 4. kerület, Munkásotthon utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA "35 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA
"5" "108.5" "117" "4" " 6. kerület, Király utca " "újszeru" "2001-2010 között" "duplakomfortos" "A" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "14 m²" NA NA
"6" "30.9" "62" "2" " 9. kerület, Toronyház utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "10 m²" NA NA
"7" "159" "134" "4" " 2. kerület, Pasarét " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" "6 m²" "25 000 Ft/hó" NA
"8" "48.9" "56" "2" " 11. kerület, Albertfalva – Kondorosi lakónegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "35 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "6 m²" "30 000 Ft/hó" NA
"9" "29.9" "50" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"10" "55.9" "56" "3" " 8. kerület, Bíró Lajos utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"11" "27.9" "27" "1" " 11. kerület, Rahó utca " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"12" "69.9" "83" "3" " 12. kerület, Németvölgy " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" NA NA
"13" "42.95" "66" "3" " 9. kerület, József Attila-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA "nincs megadva"
"14" "21.9" "36" "1" " 10. kerület, Szövoszék utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett"
"15" "19.6" "38" "1" " 13. kerület, Csángó utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"16" "39.9" "50" "2" " 7. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "15 000 Ft/hó" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "68.6" "122" "4" " 14. kerület, Alsórákos " "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"18" "89" "158" "4" " 12. kerület, Istenhegy " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "31.37 m²" NA NA
"19" "44.99" "54" "2" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA
"20" "18.9" "42" "1" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "25 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
