"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "34.2" "49" "2" " 13. kerület, Kárpát utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "150" "138" "5" " 3. kerület, Mátyáshegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"3" "42" "59" "3" " 4. kerület, Jármutelep utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "nincs megadva" "utca, közterület" "van" "35 000 Ft/hó" NA
"4" "41.9" "55" "2" " 22. kerület, Budafok " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"5" "78.9" "79" "2" " 5. kerület, Ferenciek tere " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"6" "35.99" "39" "1" " 3. kerület, Csillaghegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" NA "udvari beálló" "van" NA NA
"7" "48.9" "56" "2" " 16. kerület, Alsómalom utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "15 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"8" "38.4" "43" "2" " 13. kerület, Angyalföld " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "nincs megadva" "tetotéri" NA "udvari beálló - benne van az árban" "van" NA NA
"9" "40.8" "54" "1" " 10. kerület, Kobánya-Városközpont " "nincs megadva" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" NA NA "nincs megadva" NA NA NA
"10" "71.9" "73" "4" " 13. kerület, Angyalföld " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "45 m²" "nem" "nincs megadva" NA "teremgarázs hely" NA NA NA
"11" "23.5" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nem" "nincs megadva" "délnyugat" "kertre nézo" "3.19 m²" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA
"12" "54" "71" "3" " 11. kerület, Ormezoi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"13" "20.5" "42" "2" " 8. kerület, Koris utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "25 000 Ft/hó" NA
"14" "24.9" "50" "1" " 10. kerület, Állomás utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"15" "39.7" "74" "3" " 20. kerület, Gubacsi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "van" NA NA
