"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "erkely"
"1" "49.95" "85" "3" " 7. kerület, Jobbágy utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "35.5" "38" "1" " 14. kerület, Ilosvai Selymes utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"3" "24" "47" "2" " 15. kerület, Zsókavár utca " "felújítandó" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "nincs megadva" "1950-1980 között" "részt vett" NA
"4" "123.99" "133" "3" " 6. kerület, Lovag utca " "felújított" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "66 m²"
"5" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "79.9" "93" "4" " 6. kerület, Benczúr utca " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "116" "120" "4" " 6. kerület, Bajcsy-Zsilinszky út " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "2 m²"
"8" "200" "140" "4" " 5. kerület, Balassi Bálint utca 25. " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "3 m²"
"9" "66.77" "55" "2" " 5. kerület, Szent István körút " "jó állapotú" "komfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA
"10" "39.9" "81" "2" " 8. kerület, Korányi Sándor utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA
"11" "99.9" "81" "4" " 12. kerület, Mátyás király út " "felújítandó" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" NA NA
"12" "189.9" "175" "2" " 2. kerület, Görgényi út " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA
"13" "72" "91" "2" " 14. kerület, Herminamezo " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "udvari beálló" "1950 elott" NA "4 m²"
"14" "49.5" "68" "2" " 2. kerület, Országút " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "67.5" "71" "2" " 1. kerület, Batthyány utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA
